year,Bertram (F),Bertram (M)
1880,0.000000,0.000089
1881,0.000000,0.000078
1882,0.000000,0.000095
1883,0.000000,0.000083
1884,0.000000,0.000066
1885,0.000000,0.000079
1886,0.000000,0.000031
1887,0.000000,0.000069
1888,0.000000,0.000047
1889,0.000000,0.000062
1890,0.000000,0.000060
1891,0.000000,0.000045
1892,0.000000,0.000054
1893,0.000000,0.000040
1894,0.000000,0.000050
1895,0.000000,0.000085
1896,0.000000,0.000039
1897,0.000000,0.000037
1898,0.000000,0.000037
1899,0.000000,0.000044
1900,0.000000,0.000044
1901,0.000000,0.000038
1902,0.000000,0.000044
1903,0.000000,0.000047
1904,0.000000,0.000052
1905,0.000000,0.000064
1906,0.000000,0.000065
1907,0.000000,0.000054
1908,0.000000,0.000055
1909,0.000000,0.000053
1910,0.000000,0.000056
1911,0.000000,0.000081
1912,0.000000,0.000091
1913,0.000000,0.000084
1914,0.000000,0.000092
1915,0.000000,0.000087
1916,0.000000,0.000080
1917,0.000000,0.000101
1918,0.000000,0.000090
1919,0.000000,0.000087
1920,0.000000,0.000088
1921,0.000000,0.000084
1922,0.000000,0.000097
1923,0.000000,0.000099
1924,0.000000,0.000094
1925,0.000000,0.000083
1926,0.000000,0.000076
1927,0.000000,0.000076
1928,0.000000,0.000083
1929,0.000000,0.000064
1930,0.000000,0.000071
1931,0.000000,0.000067
1932,0.000000,0.000059
1933,0.000000,0.000064
1934,0.000000,0.000046
1935,0.000000,0.000046
1936,0.000000,0.000038
1937,0.000000,0.000036
1938,0.000000,0.000037
1939,0.000000,0.000039
1940,0.000000,0.000036
1941,0.000000,0.000034
1942,0.000000,0.000031
1943,0.000000,0.000022
1944,0.000000,0.000024
1945,0.000000,0.000025
1946,0.000000,0.000020
1947,0.000000,0.000020
1948,0.000000,0.000024
1949,0.000000,0.000022
1950,0.000000,0.000021
1951,0.000000,0.000023
1952,0.000000,0.000018
1953,0.000000,0.000022
1954,0.000000,0.000020
1955,0.000000,0.000020
1956,0.000000,0.000017
1957,0.000000,0.000015
1958,0.000000,0.000016
1959,0.000000,0.000015
1960,0.000000,0.000014
1961,0.000000,0.000015
1962,0.000000,0.000016
1963,0.000000,0.000015
1964,0.000000,0.000018
1965,0.000000,0.000017
1966,0.000000,0.000020
1967,0.000000,0.000018
1968,0.000000,0.000017
1969,0.000000,0.000018
1970,0.000000,0.000019
1971,0.000000,0.000015
1972,0.000000,0.000015
1973,0.000000,0.000014
1974,0.000000,0.000014
1975,0.000000,0.000012
1976,0.000000,0.000008
1977,0.000000,0.000008
1978,0.000000,0.000012
1979,0.000000,0.000008
1980,0.000000,0.000005
1981,0.000000,0.000008
1982,0.000000,0.000011
1983,0.000000,0.000009
1984,0.000000,0.000008
1985,0.000000,0.000005
1986,0.000000,0.000006
1987,0.000000,0.000005
1988,0.000000,0.000005
1989,0.000000,0.000005
1990,0.000000,0.000004
1991,0.000000,0.000008
1992,0.000000,0.000006
1993,0.000000,0.000004
1994,0.000000,0.000005
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000002
2009,0.000000,0.000000
2010,0.000000,0.000002
2011,0.000000,0.000000
2012,0.000000,0.000003
2013,0.000000,0.000002
