year,Brad (F),Brad (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000002
1918,0.000000,0.000003
1919,0.000000,0.000000
1920,0.000000,0.000005
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000002
1926,0.000000,0.000004
1927,0.000000,0.000000
1928,0.000000,0.000003
1929,0.000000,0.000000
1930,0.000000,0.000004
1931,0.000000,0.000005
1932,0.000000,0.000003
1933,0.000000,0.000006
1934,0.000000,0.000008
1935,0.000000,0.000013
1936,0.000000,0.000009
1937,0.000000,0.000014
1938,0.000000,0.000009
1939,0.000000,0.000014
1940,0.000000,0.000013
1941,0.000000,0.000015
1942,0.000000,0.000022
1943,0.000000,0.000023
1944,0.000000,0.000025
1945,0.000000,0.000028
1946,0.000000,0.000051
1947,0.000000,0.000064
1948,0.000000,0.000078
1949,0.000000,0.000089
1950,0.000000,0.000130
1951,0.000000,0.000167
1952,0.000000,0.000255
1953,0.000000,0.000427
1954,0.000000,0.000465
1955,0.000001,0.000468
1956,0.000000,0.000548
1957,0.000000,0.000522
1958,0.000000,0.000548
1959,0.000000,0.000564
1960,0.000002,0.000639
1961,0.000002,0.000604
1962,0.000000,0.000515
1963,0.000000,0.000575
1964,0.000002,0.000586
1965,0.000000,0.000576
1966,0.000000,0.000547
1967,0.000002,0.000521
1968,0.000002,0.000507
1969,0.000003,0.000607
1970,0.000004,0.000645
1971,0.000003,0.000631
1972,0.000003,0.000557
1973,0.000003,0.000624
1974,0.000004,0.000816
1975,0.000003,0.000866
1976,0.000005,0.000803
1977,0.000003,0.000795
1978,0.000005,0.000665
1979,0.000005,0.000702
1980,0.000003,0.000688
1981,0.000003,0.000566
1982,0.000003,0.000481
1983,0.000001,0.000426
1984,0.000002,0.000355
1985,0.000002,0.000320
1986,0.000001,0.000309
1987,0.000003,0.000284
1988,0.000000,0.000226
1989,0.000000,0.000194
1990,0.000000,0.000164
1991,0.000000,0.000145
1992,0.000000,0.000123
1993,0.000000,0.000121
1994,0.000000,0.000103
1995,0.000000,0.000109
1996,0.000000,0.000115
1997,0.000000,0.000107
1998,0.000000,0.000092
1999,0.000000,0.000083
2000,0.000000,0.000077
2001,0.000000,0.000070
2002,0.000000,0.000062
2003,0.000000,0.000057
2004,0.000000,0.000056
2005,0.000000,0.000059
2006,0.000000,0.000054
2007,0.000000,0.000052
2008,0.000000,0.000042
2009,0.000000,0.000038
2010,0.000000,0.000032
2011,0.000000,0.000032
2012,0.000000,0.000027
