year,Buck
1880,5
1881,14
1882,12
1883,5
1884,13
1885,18
1886,12
1887,14
1888,18
1889,9
1890,9
1891,20
1892,17
1893,14
1894,12
1895,12
1896,19
1897,16
1898,17
1899,21
1900,32
1901,12
1902,17
1903,24
1904,29
1905,27
1906,24
1907,33
1908,34
1909,40
1910,49
1911,46
1912,57
1913,57
1914,64
1915,80
1916,95
1917,86
1918,92
1919,102
1920,89
1921,92
1922,77
1923,82
1924,65
1925,83
1926,75
1927,69
1928,75
1929,52
1930,67
1931,67
1932,73
1933,70
1934,66
1935,72
1936,70
1937,74
1938,52
1939,41
1940,47
1941,51
1942,44
1943,40
1944,34
1945,41
1946,47
1947,45
1948,49
1949,43
1950,42
1951,36
1952,36
1953,44
1954,43
1955,45
1956,59
1957,44
1958,33
1959,57
1960,61
1961,44
1962,53
1963,42
1964,46
1965,36
1966,39
1967,35
1968,59
1969,56
1970,73
1971,56
1972,67
1973,59
1974,63
1975,53
1976,85
1977,85
1978,76
1979,92
1980,95
1981,96
1982,99
1983,73
1984,67
1985,61
1986,64
1987,57
1988,51
1989,65
1990,57
1991,24
1992,42
1993,21
1994,23
1995,21
1996,25
1997,14
1998,20
1999,17
2000,12
2001,18
2002,19
2003,12
2004,22
2005,26
2006,17
2007,22
2008,23
2009,21
2010,21
2011,16
2012,23
