year,Bobette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,9
1918,5
1919,5
1920,13
1921,8
1922,15
1923,15
1924,12
1925,8
1926,7
1927,18
1928,16
1929,15
1930,6
1931,12
1932,11
1933,16
1934,9
1935,17
1936,15
1937,17
1938,14
1939,20
1940,18
1941,19
1942,32
1943,25
1944,29
1945,28
1946,31
1947,43
1948,39
1949,33
1950,39
1951,42
1952,52
1953,53
1954,56
1955,42
1956,51
1957,35
1958,23
1959,36
1960,46
1961,41
1962,39
1963,39
1964,38
1965,34
1966,30
1967,28
1968,25
1969,26
1970,28
1971,21
1972,15
1973,14
1974,6
1975,6
1976,5
1977,8
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
