year,Besse
1880,10
1881,8
1882,12
1883,16
1884,26
1885,23
1886,20
1887,25
1888,35
1889,39
1890,37
1891,24
1892,22
1893,24
1894,15
1895,31
1896,12
1897,19
1898,13
1899,14
1900,20
1901,7
1902,19
1903,13
1904,6
1905,5
1906,12
1907,0
1908,9
1909,11
1910,0
1911,0
1912,0
1913,16
1914,6
1915,9
1916,13
1917,15
1918,14
1919,5
1920,7
1921,14
1922,14
1923,11
1924,7
1925,5
1926,8
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
