year,Bonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,6
1916,10
1917,7
1918,12
1919,11
1920,11
1921,17
1922,16
1923,17
1924,26
1925,32
1926,32
1927,27
1928,43
1929,34
1930,32
1931,36
1932,31
1933,24
1934,31
1935,19
1936,16
1937,20
1938,24
1939,20
1940,17
1941,24
1942,23
1943,28
1944,26
1945,16
1946,26
1947,35
1948,32
1949,26
1950,19
1951,16
1952,20
1953,15
1954,8
1955,15
1956,21
1957,14
1958,18
1959,14
1960,14
1961,14
1962,11
1963,7
1964,9
1965,6
1966,8
1967,6
1968,9
1969,5
1970,6
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
