year,Bing
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,7
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,10
1934,12
1935,13
1936,11
1937,11
1938,17
1939,6
1940,11
1941,7
1942,9
1943,12
1944,11
1945,5
1946,11
1947,12
1948,11
1949,10
1950,9
1951,11
1952,9
1953,8
1954,12
1955,9
1956,10
1957,7
1958,9
1959,0
1960,0
1961,7
1962,6
1963,0
1964,10
1965,6
1966,0
1967,0
1968,6
1969,0
1970,8
1971,5
1972,0
1973,5
1974,6
1975,0
1976,0
1977,0
1978,0
1979,6
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
