year,Benton (F),Benton (M)
1880,0.000000,0.000050
1881,0.000000,0.000057
1882,0.000000,0.000050
1883,0.000000,0.000083
1884,0.000000,0.000074
1885,0.000000,0.000042
1886,0.000000,0.000035
1887,0.000000,0.000065
1888,0.000000,0.000030
1889,0.000000,0.000045
1890,0.000000,0.000046
1891,0.000000,0.000017
1892,0.000000,0.000027
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000031
1896,0.000000,0.000053
1897,0.000000,0.000017
1898,0.000000,0.000013
1899,0.000000,0.000018
1900,0.000000,0.000029
1901,0.000000,0.000043
1902,0.000000,0.000026
1903,0.000000,0.000018
1904,0.000000,0.000020
1905,0.000000,0.000031
1906,0.000000,0.000012
1907,0.000000,0.000021
1908,0.000000,0.000031
1909,0.000000,0.000027
1910,0.000000,0.000030
1911,0.000000,0.000036
1912,0.000000,0.000040
1913,0.000000,0.000033
1914,0.000000,0.000041
1915,0.000000,0.000033
1916,0.000000,0.000040
1917,0.000000,0.000038
1918,0.000000,0.000035
1919,0.000000,0.000035
1920,0.000000,0.000042
1921,0.000000,0.000028
1922,0.000000,0.000035
1923,0.000000,0.000034
1924,0.000000,0.000030
1925,0.000000,0.000029
1926,0.000000,0.000038
1927,0.000000,0.000034
1928,0.000000,0.000035
1929,0.000000,0.000031
1930,0.000000,0.000035
1931,0.000000,0.000029
1932,0.000000,0.000027
1933,0.000000,0.000028
1934,0.000000,0.000025
1935,0.000000,0.000028
1936,0.000000,0.000031
1937,0.000000,0.000027
1938,0.000000,0.000025
1939,0.000000,0.000027
1940,0.000000,0.000025
1941,0.000000,0.000025
1942,0.000000,0.000026
1943,0.000000,0.000022
1944,0.000000,0.000026
1945,0.000000,0.000023
1946,0.000000,0.000020
1947,0.000000,0.000017
1948,0.000000,0.000017
1949,0.000000,0.000018
1950,0.000000,0.000016
1951,0.000000,0.000014
1952,0.000000,0.000014
1953,0.000000,0.000013
1954,0.000000,0.000015
1955,0.000000,0.000016
1956,0.000000,0.000012
1957,0.000000,0.000016
1958,0.000000,0.000017
1959,0.000000,0.000016
1960,0.000000,0.000015
1961,0.000000,0.000014
1962,0.000000,0.000017
1963,0.000000,0.000017
1964,0.000000,0.000016
1965,0.000000,0.000013
1966,0.000000,0.000018
1967,0.000000,0.000017
1968,0.000000,0.000017
1969,0.000000,0.000014
1970,0.000000,0.000017
1971,0.000000,0.000019
1972,0.000000,0.000016
1973,0.000000,0.000012
1974,0.000000,0.000014
1975,0.000000,0.000015
1976,0.000000,0.000020
1977,0.000000,0.000015
1978,0.000000,0.000014
1979,0.000000,0.000018
1980,0.000000,0.000016
1981,0.000000,0.000018
1982,0.000000,0.000017
1983,0.000000,0.000020
1984,0.000000,0.000019
1985,0.000000,0.000022
1986,0.000000,0.000022
1987,0.000000,0.000024
1988,0.000000,0.000022
1989,0.000000,0.000022
1990,0.000000,0.000022
1991,0.000000,0.000022
1992,0.000000,0.000023
1993,0.000000,0.000019
1994,0.000000,0.000024
1995,0.000000,0.000030
1996,0.000000,0.000029
1997,0.000000,0.000027
1998,0.000000,0.000030
1999,0.000000,0.000031
2000,0.000000,0.000030
2001,0.000000,0.000027
2002,0.000000,0.000025
2003,0.000000,0.000026
2004,0.000000,0.000027
2005,0.000000,0.000027
2006,0.000000,0.000028
2007,0.000000,0.000035
2008,0.000000,0.000028
2009,0.000000,0.000029
2010,0.000000,0.000045
2011,0.000000,0.000058
2012,0.000000,0.000066
2013,0.000000,0.000062
