year,Brodie (F),Brodie (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000009
1914,0.000000,0.000000
1915,0.000000,0.000005
1916,0.000000,0.000003
1917,0.000000,0.000002
1918,0.000000,0.000005
1919,0.000000,0.000006
1920,0.000000,0.000004
1921,0.000000,0.000003
1922,0.000000,0.000004
1923,0.000000,0.000000
1924,0.000000,0.000007
1925,0.000000,0.000006
1926,0.000000,0.000000
1927,0.000000,0.000005
1928,0.000000,0.000004
1929,0.000000,0.000005
1930,0.000000,0.000000
1931,0.000000,0.000006
1932,0.000000,0.000002
1933,0.000000,0.000004
1934,0.000000,0.000002
1935,0.000000,0.000004
1936,0.000000,0.000003
1937,0.000000,0.000004
1938,0.000000,0.000002
1939,0.000000,0.000000
1940,0.000000,0.000003
1941,0.000000,0.000003
1942,0.000000,0.000000
1943,0.000000,0.000003
1944,0.000000,0.000002
1945,0.000000,0.000004
1946,0.000000,0.000003
1947,0.000000,0.000003
1948,0.000000,0.000003
1949,0.000000,0.000003
1950,0.000000,0.000002
1951,0.000000,0.000003
1952,0.000000,0.000002
1953,0.000000,0.000000
1954,0.000000,0.000003
1955,0.000000,0.000002
1956,0.000000,0.000001
1957,0.000000,0.000002
1958,0.000000,0.000002
1959,0.000000,0.000000
1960,0.000000,0.000002
1961,0.000000,0.000003
1962,0.000000,0.000000
1963,0.000000,0.000002
1964,0.000000,0.000001
1965,0.000000,0.000000
1966,0.000000,0.000002
1967,0.000000,0.000003
1968,0.000000,0.000002
1969,0.000000,0.000003
1970,0.000000,0.000006
1971,0.000000,0.000007
1972,0.000000,0.000011
1973,0.000000,0.000013
1974,0.000002,0.000012
1975,0.000000,0.000009
1976,0.000000,0.000009
1977,0.000002,0.000013
1978,0.000000,0.000011
1979,0.000000,0.000016
1980,0.000000,0.000014
1981,0.000000,0.000014
1982,0.000000,0.000013
1983,0.000000,0.000011
1984,0.000000,0.000014
1985,0.000000,0.000018
1986,0.000000,0.000019
1987,0.000000,0.000017
1988,0.000000,0.000015
1989,0.000000,0.000014
1990,0.000000,0.000014
1991,0.000000,0.000015
1992,0.000001,0.000023
1993,0.000002,0.000029
1994,0.000002,0.000029
1995,0.000000,0.000028
1996,0.000000,0.000032
1997,0.000002,0.000034
1998,0.000003,0.000035
1999,0.000001,0.000031
2000,0.000001,0.000042
2001,0.000002,0.000045
2002,0.000002,0.000068
2003,0.000005,0.000076
2004,0.000007,0.000091
2005,0.000006,0.000106
2006,0.000004,0.000155
2007,0.000008,0.000151
2008,0.000007,0.000176
2009,0.000008,0.000145
2010,0.000005,0.000135
2011,0.000006,0.000130
2012,0.000005,0.000106
2013,0.000004,0.000092
2014,0.000005,0.000100
2015,0.000003,0.000088
2016,0.000005,0.000083
2017,0.000004,0.000075
2018,0.000006,0.000066
2019,0.000005,0.000073
2020,0.000005,0.000078
