year,Benjiman (F),Benjiman (M)
1880,0.000000,0.000139
1881,0.000000,0.000109
1882,0.000000,0.000158
1883,0.000000,0.000134
1884,0.000000,0.000131
1885,0.000000,0.000108
1886,0.000000,0.000090
1887,0.000000,0.000065
1888,0.000000,0.000187
1889,0.000000,0.000104
1890,0.000000,0.000113
1891,0.000000,0.000101
1892,0.000000,0.000093
1893,0.000000,0.000052
1894,0.000000,0.000053
1895,0.000000,0.000051
1896,0.000000,0.000062
1897,0.000000,0.000055
1898,0.000000,0.000042
1899,0.000000,0.000032
1900,0.000000,0.000051
1901,0.000000,0.000043
1902,0.000000,0.000026
1903,0.000000,0.000042
1904,0.000000,0.000025
1905,0.000000,0.000021
1906,0.000000,0.000030
1907,0.000000,0.000028
1908,0.000000,0.000020
1909,0.000000,0.000027
1910,0.000000,0.000022
1911,0.000000,0.000029
1912,0.000000,0.000028
1913,0.000000,0.000026
1914,0.000000,0.000032
1915,0.000000,0.000029
1916,0.000000,0.000034
1917,0.000000,0.000031
1918,0.000000,0.000034
1919,0.000000,0.000036
1920,0.000000,0.000027
1921,0.000000,0.000038
1922,0.000000,0.000032
1923,0.000000,0.000025
1924,0.000000,0.000033
1925,0.000000,0.000029
1926,0.000000,0.000026
1927,0.000000,0.000022
1928,0.000000,0.000022
1929,0.000000,0.000023
1930,0.000000,0.000021
1931,0.000000,0.000020
1932,0.000000,0.000021
1933,0.000000,0.000017
1934,0.000000,0.000016
1935,0.000000,0.000015
1936,0.000000,0.000016
1937,0.000000,0.000018
1938,0.000000,0.000014
1939,0.000000,0.000007
1940,0.000000,0.000011
1941,0.000000,0.000013
1942,0.000000,0.000012
1943,0.000000,0.000007
1944,0.000000,0.000007
1945,0.000000,0.000006
1946,0.000000,0.000006
1947,0.000000,0.000006
1948,0.000000,0.000007
1949,0.000000,0.000008
1950,0.000000,0.000005
1951,0.000000,0.000007
1952,0.000000,0.000007
1953,0.000000,0.000004
1954,0.000000,0.000006
1955,0.000000,0.000005
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000006
1961,0.000000,0.000005
1962,0.000000,0.000006
1963,0.000000,0.000005
1964,0.000000,0.000007
1965,0.000000,0.000005
1966,0.000000,0.000003
1967,0.000000,0.000004
1968,0.000000,0.000004
1969,0.000000,0.000007
1970,0.000000,0.000004
1971,0.000000,0.000009
1972,0.000000,0.000006
1973,0.000000,0.000006
1974,0.000000,0.000009
1975,0.000000,0.000024
1976,0.000000,0.000014
1977,0.000000,0.000017
1978,0.000000,0.000016
1979,0.000000,0.000014
1980,0.000000,0.000015
1981,0.000000,0.000009
1982,0.000000,0.000008
1983,0.000000,0.000012
1984,0.000000,0.000009
1985,0.000000,0.000011
1986,0.000000,0.000007
1987,0.000000,0.000012
1988,0.000000,0.000011
1989,0.000000,0.000011
1990,0.000000,0.000006
1991,0.000000,0.000010
1992,0.000000,0.000005
1993,0.000000,0.000006
1994,0.000000,0.000007
1995,0.000000,0.000007
1996,0.000000,0.000007
1997,0.000000,0.000008
1998,0.000000,0.000005
1999,0.000000,0.000009
2000,0.000000,0.000006
2001,0.000000,0.000006
2002,0.000000,0.000007
2003,0.000000,0.000006
2004,0.000000,0.000006
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000007
2008,0.000000,0.000007
2009,0.000000,0.000007
2010,0.000000,0.000006
2011,0.000000,0.000009
2012,0.000000,0.000005
