year,Blanchie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,8
1895,0
1896,0
1897,0
1898,6
1899,7
1900,14
1901,6
1902,10
1903,10
1904,5
1905,14
1906,13
1907,9
1908,16
1909,11
1910,19
1911,23
1912,20
1913,29
1914,21
1915,37
1916,26
1917,30
1918,34
1919,47
1920,39
1921,37
1922,46
1923,37
1924,35
1925,49
1926,33
1927,30
1928,33
1929,19
1930,19
1931,20
1932,28
1933,22
1934,28
1935,23
1936,21
1937,22
1938,15
1939,13
1940,24
1941,19
1942,30
1943,14
1944,15
1945,19
1946,21
1947,14
1948,18
1949,14
1950,13
1951,14
1952,21
1953,10
1954,6
1955,11
1956,11
1957,0
1958,9
1959,11
1960,8
1961,6
1962,7
1963,5
1964,7
1965,0
1966,7
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
