year,Blanch
1880,29
1881,27
1882,27
1883,28
1884,43
1885,67
1886,63
1887,49
1888,62
1889,53
1890,62
1891,58
1892,93
1893,88
1894,72
1895,72
1896,69
1897,68
1898,73
1899,83
1900,113
1901,66
1902,101
1903,72
1904,90
1905,94
1906,67
1907,103
1908,67
1909,79
1910,108
1911,103
1912,94
1913,124
1914,132
1915,175
1916,173
1917,167
1918,155
1919,164
1920,164
1921,171
1922,151
1923,142
1924,181
1925,160
1926,140
1927,142
1928,125
1929,100
1930,96
1931,96
1932,102
1933,65
1934,51
1935,73
1936,50
1937,70
1938,61
1939,56
1940,50
1941,43
1942,60
1943,48
1944,33
1945,40
1946,41
1947,43
1948,28
1949,28
1950,36
1951,33
1952,27
1953,26
1954,30
1955,35
1956,22
1957,24
1958,16
1959,22
1960,18
1961,15
1962,15
1963,12
1964,8
1965,10
1966,10
1967,7
1968,6
1969,7
1970,7
1971,0
1972,0
1973,0
1974,5
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,6
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
