year,Bishop (F),Bishop (M)
1880,0.000000,0.000060
1881,0.000000,0.000042
1882,0.000000,0.000050
1883,0.000000,0.000046
1884,0.000000,0.000045
1885,0.000000,0.000050
1886,0.000000,0.000031
1887,0.000000,0.000000
1888,0.000000,0.000037
1889,0.000000,0.000035
1890,0.000000,0.000063
1891,0.000000,0.000000
1892,0.000000,0.000033
1893,0.000000,0.000034
1894,0.000000,0.000018
1895,0.000000,0.000028
1896,0.000000,0.000056
1897,0.000000,0.000035
1898,0.000000,0.000037
1899,0.000000,0.000021
1900,0.000000,0.000040
1901,0.000000,0.000000
1902,0.000000,0.000023
1903,0.000000,0.000024
1904,0.000000,0.000015
1905,0.000000,0.000035
1906,0.000000,0.000028
1907,0.000000,0.000037
1908,0.000000,0.000020
1909,0.000000,0.000029
1910,0.000000,0.000019
1911,0.000000,0.000019
1912,0.000000,0.000025
1913,0.000000,0.000019
1914,0.000000,0.000021
1915,0.000000,0.000022
1916,0.000000,0.000018
1917,0.000000,0.000012
1918,0.000000,0.000018
1919,0.000000,0.000018
1920,0.000000,0.000018
1921,0.000000,0.000019
1922,0.000000,0.000017
1923,0.000000,0.000013
1924,0.000000,0.000014
1925,0.000000,0.000009
1926,0.000000,0.000016
1927,0.000000,0.000011
1928,0.000000,0.000009
1929,0.000000,0.000010
1930,0.000000,0.000009
1931,0.000000,0.000012
1932,0.000000,0.000010
1933,0.000000,0.000009
1934,0.000000,0.000006
1935,0.000000,0.000009
1936,0.000000,0.000011
1937,0.000000,0.000010
1938,0.000000,0.000007
1939,0.000000,0.000005
1940,0.000000,0.000005
1941,0.000000,0.000012
1942,0.000000,0.000006
1943,0.000000,0.000005
1944,0.000000,0.000008
1945,0.000000,0.000009
1946,0.000000,0.000007
1947,0.000000,0.000006
1948,0.000000,0.000006
1949,0.000000,0.000005
1950,0.000000,0.000005
1951,0.000000,0.000005
1952,0.000000,0.000004
1953,0.000000,0.000006
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000006
1957,0.000000,0.000004
1958,0.000000,0.000003
1959,0.000000,0.000002
1960,0.000000,0.000002
1961,0.000000,0.000003
1962,0.000000,0.000004
1963,0.000000,0.000004
1964,0.000000,0.000002
1965,0.000000,0.000002
1966,0.000000,0.000003
1967,0.000000,0.000002
1968,0.000000,0.000002
1969,0.000000,0.000003
1970,0.000000,0.000000
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000002
1974,0.000000,0.000003
1975,0.000000,0.000004
1976,0.000000,0.000002
1977,0.000000,0.000004
1978,0.000000,0.000004
1979,0.000000,0.000006
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000005
1983,0.000000,0.000002
1984,0.000000,0.000002
1985,0.000000,0.000002
1986,0.000000,0.000004
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000000,0.000004
1992,0.000000,0.000010
1993,0.000000,0.000014
1994,0.000000,0.000027
1995,0.000000,0.000023
1996,0.000000,0.000021
1997,0.000000,0.000025
1998,0.000000,0.000039
1999,0.000000,0.000036
2000,0.000000,0.000032
2001,0.000000,0.000031
2002,0.000000,0.000029
2003,0.000001,0.000036
2004,0.000000,0.000029
2005,0.000000,0.000039
2006,0.000000,0.000040
2007,0.000000,0.000042
2008,0.000000,0.000043
2009,0.000000,0.000046
2010,0.000000,0.000044
2011,0.000000,0.000045
2012,0.000000,0.000050
2013,0.000000,0.000043
2014,0.000000,0.000051
2015,0.000000,0.000056
2016,0.000000,0.000052
2017,0.000002,0.000057
2018,0.000004,0.000060
2019,0.000005,0.000057
2020,0.000005,0.000065
