year,Brown
1880,0
1881,14
1882,8
1883,12
1884,0
1885,12
1886,0
1887,11
1888,8
1889,9
1890,5
1891,9
1892,11
1893,7
1894,8
1895,7
1896,12
1897,6
1898,7
1899,7
1900,9
1901,8
1902,7
1903,0
1904,6
1905,10
1906,10
1907,15
1908,17
1909,16
1910,13
1911,20
1912,26
1913,17
1914,27
1915,38
1916,45
1917,41
1918,55
1919,38
1920,36
1921,30
1922,50
1923,35
1924,34
1925,32
1926,32
1927,21
1928,21
1929,20
1930,26
1931,15
1932,24
1933,25
1934,23
1935,14
1936,18
1937,24
1938,12
1939,16
1940,28
1941,19
1942,13
1943,18
1944,13
1945,10
1946,10
1947,13
1948,13
1949,16
1950,12
1951,10
1952,8
1953,6
1954,8
1955,10
1956,11
1957,9
1958,7
1959,11
1960,14
1961,6
1962,7
1963,8
1964,5
1965,5
1966,0
1967,0
1968,0
1969,8
1970,0
1971,0
1972,0
1973,0
1974,5
1975,10
1976,5
1977,0
1978,0
1979,0
1980,8
1981,0
1982,8
1983,11
1984,0
1985,0
1986,8
1987,0
1988,0
1989,0
1990,6
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,7
2009,0
2010,0
2011,0
2012,0
