year,Blaine (F),Blaine (M)
1880,0.000000,0.000025
1881,0.000000,0.000031
1882,0.000000,0.000059
1883,0.000000,0.000060
1884,0.000000,0.000255
1885,0.000000,0.000083
1886,0.000000,0.000047
1887,0.000000,0.000049
1888,0.000000,0.000043
1889,0.000000,0.000066
1890,0.000000,0.000036
1891,0.000000,0.000059
1892,0.000000,0.000054
1893,0.000000,0.000031
1894,0.000000,0.000027
1895,0.000000,0.000023
1896,0.000000,0.000042
1897,0.000000,0.000000
1898,0.000000,0.000021
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000021
1904,0.000000,0.000030
1905,0.000000,0.000028
1906,0.000000,0.000021
1907,0.000000,0.000032
1908,0.000000,0.000023
1909,0.000000,0.000023
1910,0.000000,0.000034
1911,0.000000,0.000036
1912,0.000000,0.000041
1913,0.000000,0.000056
1914,0.000000,0.000051
1915,0.000003,0.000057
1916,0.000000,0.000062
1917,0.000000,0.000063
1918,0.000000,0.000054
1919,0.000000,0.000064
1920,0.000000,0.000060
1921,0.000000,0.000068
1922,0.000000,0.000068
1923,0.000000,0.000078
1924,0.000000,0.000062
1925,0.000000,0.000057
1926,0.000000,0.000064
1927,0.000000,0.000060
1928,0.000000,0.000060
1929,0.000000,0.000070
1930,0.000000,0.000071
1931,0.000000,0.000060
1932,0.000000,0.000063
1933,0.000000,0.000074
1934,0.000000,0.000071
1935,0.000000,0.000067
1936,0.000000,0.000070
1937,0.000000,0.000060
1938,0.000000,0.000057
1939,0.000000,0.000066
1940,0.000002,0.000059
1941,0.000000,0.000055
1942,0.000002,0.000055
1943,0.000000,0.000058
1944,0.000000,0.000044
1945,0.000000,0.000052
1946,0.000000,0.000058
1947,0.000000,0.000058
1948,0.000000,0.000060
1949,0.000000,0.000054
1950,0.000000,0.000067
1951,0.000000,0.000070
1952,0.000000,0.000070
1953,0.000001,0.000081
1954,0.000001,0.000082
1955,0.000000,0.000079
1956,0.000000,0.000085
1957,0.000000,0.000082
1958,0.000001,0.000082
1959,0.000001,0.000084
1960,0.000001,0.000093
1961,0.000002,0.000102
1962,0.000000,0.000108
1963,0.000001,0.000099
1964,0.000002,0.000102
1965,0.000002,0.000095
1966,0.000002,0.000089
1967,0.000000,0.000082
1968,0.000000,0.000089
1969,0.000002,0.000098
1970,0.000000,0.000091
1971,0.000003,0.000091
1972,0.000000,0.000082
1973,0.000003,0.000083
1974,0.000000,0.000077
1975,0.000000,0.000080
1976,0.000002,0.000086
1977,0.000003,0.000079
1978,0.000003,0.000075
1979,0.000006,0.000069
1980,0.000006,0.000078
1981,0.000011,0.000088
1982,0.000010,0.000074
1983,0.000007,0.000077
1984,0.000007,0.000079
1985,0.000006,0.000087
1986,0.000008,0.000108
1987,0.000010,0.000139
1988,0.000010,0.000136
1989,0.000009,0.000156
1990,0.000009,0.000146
1991,0.000007,0.000133
1992,0.000009,0.000131
1993,0.000008,0.000121
1994,0.000009,0.000108
1995,0.000007,0.000119
1996,0.000007,0.000113
1997,0.000007,0.000134
1998,0.000007,0.000118
1999,0.000007,0.000109
2000,0.000007,0.000140
2001,0.000007,0.000165
2002,0.000006,0.000154
2003,0.000006,0.000137
2004,0.000005,0.000105
2005,0.000004,0.000122
2006,0.000003,0.000110
2007,0.000003,0.000115
2008,0.000005,0.000103
2009,0.000004,0.000102
2010,0.000004,0.000103
2011,0.000004,0.000120
2012,0.000005,0.000121
