year,Bryon (F),Bryon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000004
1916,0.000000,0.000004
1917,0.000000,0.000004
1918,0.000000,0.000004
1919,0.000000,0.000002
1920,0.000000,0.000003
1921,0.000000,0.000000
1922,0.000000,0.000003
1923,0.000000,0.000000
1924,0.000000,0.000005
1925,0.000000,0.000003
1926,0.000000,0.000000
1927,0.000000,0.000003
1928,0.000000,0.000003
1929,0.000000,0.000004
1930,0.000000,0.000003
1931,0.000000,0.000003
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000004
1935,0.000000,0.000004
1936,0.000000,0.000004
1937,0.000000,0.000003
1938,0.000000,0.000003
1939,0.000000,0.000005
1940,0.000000,0.000010
1941,0.000000,0.000005
1942,0.000000,0.000006
1943,0.000000,0.000006
1944,0.000000,0.000009
1945,0.000000,0.000007
1946,0.000000,0.000007
1947,0.000000,0.000009
1948,0.000000,0.000010
1949,0.000000,0.000012
1950,0.000000,0.000014
1951,0.000000,0.000013
1952,0.000000,0.000018
1953,0.000000,0.000017
1954,0.000000,0.000024
1955,0.000000,0.000024
1956,0.000000,0.000037
1957,0.000000,0.000065
1958,0.000000,0.000072
1959,0.000000,0.000073
1960,0.000000,0.000075
1961,0.000000,0.000074
1962,0.000000,0.000078
1963,0.000000,0.000082
1964,0.000000,0.000089
1965,0.000000,0.000091
1966,0.000000,0.000097
1967,0.000000,0.000101
1968,0.000000,0.000119
1969,0.000000,0.000117
1970,0.000000,0.000125
1971,0.000001,0.000126
1972,0.000000,0.000134
1973,0.000000,0.000135
1974,0.000000,0.000121
1975,0.000000,0.000118
1976,0.000000,0.000114
1977,0.000000,0.000111
1978,0.000000,0.000110
1979,0.000000,0.000086
1980,0.000000,0.000098
1981,0.000000,0.000079
1982,0.000000,0.000089
1983,0.000002,0.000090
1984,0.000000,0.000082
1985,0.000001,0.000086
1986,0.000000,0.000068
1987,0.000000,0.000074
1988,0.000000,0.000074
1989,0.000000,0.000056
1990,0.000000,0.000052
1991,0.000000,0.000055
1992,0.000000,0.000048
1993,0.000000,0.000038
1994,0.000000,0.000040
1995,0.000000,0.000040
1996,0.000000,0.000036
1997,0.000000,0.000037
1998,0.000000,0.000034
1999,0.000000,0.000033
2000,0.000000,0.000027
2001,0.000000,0.000025
2002,0.000000,0.000026
2003,0.000000,0.000021
2004,0.000000,0.000021
2005,0.000000,0.000023
2006,0.000000,0.000020
2007,0.000000,0.000017
2008,0.000000,0.000016
2009,0.000000,0.000016
2010,0.000000,0.000017
2011,0.000000,0.000012
2012,0.000000,0.000010
2013,0.000000,0.000009
2014,0.000000,0.000012
2015,0.000000,0.000012
2016,0.000000,0.000008
2017,0.000000,0.000010
2018,0.000000,0.000009
2019,0.000000,0.000008
2020,0.000000,0.000007
