year,Bartlett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,10
1913,0
1914,7
1915,10
1916,9
1917,14
1918,14
1919,10
1920,12
1921,11
1922,15
1923,10
1924,11
1925,16
1926,14
1927,5
1928,7
1929,6
1930,7
1931,6
1932,6
1933,11
1934,12
1935,9
1936,5
1937,6
1938,9
1939,9
1940,8
1941,9
1942,6
1943,12
1944,13
1945,8
1946,11
1947,10
1948,9
1949,10
1950,5
1951,11
1952,9
1953,12
1954,6
1955,10
1956,8
1957,9
1958,5
1959,10
1960,11
1961,8
1962,7
1963,8
1964,12
1965,5
1966,11
1967,13
1968,10
1969,7
1970,6
1971,0
1972,9
1973,0
1974,9
1975,0
1976,7
1977,7
1978,5
1979,0
1980,0
1981,8
1982,5
1983,9
1984,5
1985,6
1986,0
1987,5
1988,10
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
