year,Bula
1880,0
1881,6
1882,0
1883,6
1884,5
1885,6
1886,0
1887,6
1888,0
1889,18
1890,14
1891,8
1892,8
1893,8
1894,12
1895,11
1896,12
1897,8
1898,10
1899,9
1900,15
1901,0
1902,9
1903,5
1904,12
1905,13
1906,15
1907,13
1908,16
1909,18
1910,13
1911,13
1912,14
1913,19
1914,26
1915,39
1916,30
1917,27
1918,36
1919,32
1920,43
1921,35
1922,29
1923,40
1924,33
1925,28
1926,25
1927,25
1928,19
1929,27
1930,17
1931,9
1932,21
1933,16
1934,23
1935,16
1936,15
1937,19
1938,17
1939,10
1940,6
1941,6
1942,11
1943,10
1944,7
1945,5
1946,5
1947,0
1948,0
1949,0
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
