year,Benny (F),Benny (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000037
1886,0.000000,0.000051
1887,0.000000,0.000040
1888,0.000000,0.000020
1889,0.000000,0.000017
1890,0.000000,0.000023
1891,0.000000,0.000021
1892,0.000000,0.000027
1893,0.000000,0.000028
1894,0.000000,0.000027
1895,0.000000,0.000028
1896,0.000000,0.000045
1897,0.000000,0.000035
1898,0.000000,0.000047
1899,0.000000,0.000038
1900,0.000000,0.000069
1901,0.000000,0.000049
1902,0.000000,0.000034
1903,0.000000,0.000045
1904,0.000000,0.000045
1905,0.000000,0.000064
1906,0.000000,0.000072
1907,0.000000,0.000088
1908,0.000000,0.000076
1909,0.000000,0.000061
1910,0.000000,0.000080
1911,0.000000,0.000078
1912,0.000000,0.000088
1913,0.000000,0.000107
1914,0.000000,0.000102
1915,0.000000,0.000115
1916,0.000000,0.000101
1917,0.000004,0.000111
1918,0.000000,0.000130
1919,0.000003,0.000130
1920,0.000003,0.000120
1921,0.000002,0.000135
1922,0.000008,0.000131
1923,0.000003,0.000150
1924,0.000005,0.000174
1925,0.000006,0.000169
1926,0.000005,0.000174
1927,0.000005,0.000185
1928,0.000006,0.000203
1929,0.000007,0.000220
1930,0.000006,0.000240
1931,0.000005,0.000286
1932,0.000007,0.000281
1933,0.000005,0.000297
1934,0.000006,0.000330
1935,0.000006,0.000324
1936,0.000006,0.000352
1937,0.000008,0.000357
1938,0.000007,0.000372
1939,0.000002,0.000392
1940,0.000004,0.000354
1941,0.000003,0.000343
1942,0.000003,0.000321
1943,0.000004,0.000340
1944,0.000004,0.000333
1945,0.000004,0.000309
1946,0.000004,0.000314
1947,0.000002,0.000295
1948,0.000003,0.000308
1949,0.000002,0.000278
1950,0.000002,0.000250
1951,0.000002,0.000252
1952,0.000003,0.000236
1953,0.000002,0.000233
1954,0.000003,0.000230
1955,0.000003,0.000205
1956,0.000000,0.000215
1957,0.000002,0.000208
1958,0.000001,0.000211
1959,0.000003,0.000203
1960,0.000003,0.000189
1961,0.000002,0.000173
1962,0.000001,0.000187
1963,0.000002,0.000161
1964,0.000002,0.000152
1965,0.000002,0.000142
1966,0.000000,0.000132
1967,0.000002,0.000117
1968,0.000002,0.000120
1969,0.000002,0.000114
1970,0.000001,0.000106
1971,0.000000,0.000108
1972,0.000002,0.000111
1973,0.000003,0.000100
1974,0.000000,0.000113
1975,0.000002,0.000107
1976,0.000002,0.000094
1977,0.000000,0.000094
1978,0.000002,0.000100
1979,0.000000,0.000102
1980,0.000002,0.000086
1981,0.000000,0.000084
1982,0.000000,0.000082
1983,0.000001,0.000062
1984,0.000000,0.000060
1985,0.000000,0.000060
1986,0.000000,0.000060
1987,0.000000,0.000059
1988,0.000000,0.000052
1989,0.000002,0.000055
1990,0.000000,0.000051
1991,0.000000,0.000052
1992,0.000000,0.000053
1993,0.000000,0.000055
1994,0.000000,0.000042
1995,0.000000,0.000050
1996,0.000000,0.000049
1997,0.000000,0.000046
1998,0.000000,0.000047
1999,0.000000,0.000043
2000,0.000000,0.000051
2001,0.000000,0.000044
2002,0.000000,0.000052
2003,0.000000,0.000042
2004,0.000000,0.000047
2005,0.000000,0.000043
2006,0.000000,0.000049
2007,0.000000,0.000048
2008,0.000000,0.000039
2009,0.000000,0.000039
2010,0.000000,0.000041
2011,0.000000,0.000041
2012,0.000000,0.000037
2013,0.000000,0.000039
2014,0.000001,0.000038
2015,0.000001,0.000032
2016,0.000000,0.000033
2017,0.000000,0.000036
2018,0.000000,0.000042
2019,0.000000,0.000047
2020,0.000002,0.000051
