year,Tereasa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,11
1947,6
1948,17
1949,17
1950,15
1951,12
1952,35
1953,41
1954,37
1955,30
1956,43
1957,52
1958,65
1959,46
1960,50
1961,54
1962,51
1963,55
1964,80
1965,50
1966,41
1967,60
1968,43
1969,55
1970,50
1971,41
1972,28
1973,36
1974,29
1975,26
1976,27
1977,19
1978,14
1979,20
1980,23
1981,11
1982,13
1983,16
1984,13
1985,13
1986,16
1987,10
1988,8
1989,5
1990,0
1991,7
1992,11
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
