year,Terese
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,5
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,5
1900,7
1901,0
1902,6
1903,0
1904,7
1905,5
1906,5
1907,9
1908,0
1909,0
1910,6
1911,5
1912,8
1913,15
1914,21
1915,16
1916,11
1917,11
1918,9
1919,13
1920,11
1921,17
1922,16
1923,12
1924,17
1925,33
1926,41
1927,38
1928,41
1929,22
1930,32
1931,24
1932,26
1933,21
1934,22
1935,19
1936,19
1937,25
1938,18
1939,20
1940,13
1941,23
1942,19
1943,29
1944,30
1945,22
1946,42
1947,53
1948,61
1949,72
1950,98
1951,146
1952,159
1953,176
1954,235
1955,255
1956,257
1957,268
1958,228
1959,258
1960,242
1961,267
1962,236
1963,221
1964,201
1965,179
1966,141
1967,114
1968,106
1969,115
1970,115
1971,90
1972,75
1973,69
1974,59
1975,67
1976,67
1977,47
1978,46
1979,62
1980,73
1981,68
1982,56
1983,54
1984,66
1985,39
1986,45
1987,36
1988,35
1989,23
1990,37
1991,37
1992,37
1993,28
1994,21
1995,24
1996,20
1997,20
1998,29
1999,10
2000,18
2001,12
2002,16
2003,9
2004,10
2005,11
2006,7
2007,11
2008,8
2009,6
2010,0
2011,6
2012,0
