year,Thurman (F),Thurman (M)
1880,0.000000,0.000040
1881,0.000000,0.000031
1882,0.000000,0.000036
1883,0.000000,0.000028
1884,0.000000,0.000033
1885,0.000000,0.000033
1886,0.000000,0.000051
1887,0.000000,0.000057
1888,0.000000,0.000240
1889,0.000000,0.000104
1890,0.000000,0.000096
1891,0.000000,0.000052
1892,0.000000,0.000060
1893,0.000000,0.000043
1894,0.000000,0.000050
1895,0.000000,0.000048
1896,0.000000,0.000028
1897,0.000000,0.000035
1898,0.000000,0.000042
1899,0.000000,0.000050
1900,0.000000,0.000047
1901,0.000000,0.000038
1902,0.000000,0.000057
1903,0.000000,0.000034
1904,0.000000,0.000074
1905,0.000000,0.000057
1906,0.000000,0.000058
1907,0.000000,0.000080
1908,0.000000,0.000098
1909,0.000000,0.000121
1910,0.000000,0.000096
1911,0.000000,0.000107
1912,0.000000,0.000136
1913,0.000000,0.000141
1914,0.000000,0.000170
1915,0.000000,0.000174
1916,0.000000,0.000163
1917,0.000000,0.000169
1918,0.000000,0.000165
1919,0.000000,0.000168
1920,0.000000,0.000160
1921,0.000000,0.000149
1922,0.000000,0.000157
1923,0.000000,0.000148
1924,0.000000,0.000132
1925,0.000000,0.000133
1926,0.000000,0.000132
1927,0.000000,0.000138
1928,0.000002,0.000134
1929,0.000000,0.000114
1930,0.000000,0.000117
1931,0.000000,0.000135
1932,0.000000,0.000135
1933,0.000000,0.000124
1934,0.000000,0.000132
1935,0.000000,0.000126
1936,0.000000,0.000131
1937,0.000000,0.000120
1938,0.000000,0.000105
1939,0.000000,0.000112
1940,0.000000,0.000105
1941,0.000000,0.000103
1942,0.000000,0.000099
1943,0.000000,0.000106
1944,0.000000,0.000095
1945,0.000000,0.000091
1946,0.000000,0.000080
1947,0.000000,0.000069
1948,0.000000,0.000070
1949,0.000000,0.000072
1950,0.000000,0.000060
1951,0.000000,0.000061
1952,0.000000,0.000059
1953,0.000000,0.000045
1954,0.000000,0.000047
1955,0.000000,0.000042
1956,0.000000,0.000043
1957,0.000000,0.000033
1958,0.000000,0.000034
1959,0.000000,0.000038
1960,0.000000,0.000040
1961,0.000000,0.000040
1962,0.000000,0.000033
1963,0.000000,0.000031
1964,0.000000,0.000038
1965,0.000000,0.000038
1966,0.000000,0.000033
1967,0.000000,0.000029
1968,0.000000,0.000024
1969,0.000000,0.000035
1970,0.000000,0.000026
1971,0.000000,0.000027
1972,0.000000,0.000026
1973,0.000000,0.000021
1974,0.000000,0.000025
1975,0.000000,0.000025
1976,0.000000,0.000023
1977,0.000000,0.000024
1978,0.000000,0.000018
1979,0.000000,0.000020
1980,0.000000,0.000019
1981,0.000000,0.000017
1982,0.000000,0.000018
1983,0.000000,0.000017
1984,0.000000,0.000015
1985,0.000000,0.000012
1986,0.000000,0.000008
1987,0.000000,0.000012
1988,0.000000,0.000010
1989,0.000000,0.000009
1990,0.000000,0.000012
1991,0.000000,0.000011
1992,0.000000,0.000012
1993,0.000000,0.000011
1994,0.000000,0.000010
1995,0.000000,0.000008
1996,0.000000,0.000009
1997,0.000000,0.000007
1998,0.000000,0.000007
1999,0.000000,0.000007
2000,0.000000,0.000006
2001,0.000000,0.000006
2002,0.000000,0.000003
2003,0.000000,0.000006
2004,0.000000,0.000004
2005,0.000000,0.000005
2006,0.000000,0.000003
2007,0.000000,0.000004
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000003
2012,0.000000,0.000002
2013,0.000000,0.000002
