year,Thelbert
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,0
1911,9
1912,10
1913,21
1914,10
1915,26
1916,16
1917,20
1918,20
1919,21
1920,22
1921,32
1922,25
1923,20
1924,30
1925,20
1926,20
1927,20
1928,24
1929,17
1930,25
1931,25
1932,18
1933,19
1934,20
1935,18
1936,25
1937,23
1938,24
1939,19
1940,12
1941,17
1942,16
1943,20
1944,10
1945,12
1946,11
1947,16
1948,22
1949,21
1950,10
1951,8
1952,12
1953,12
1954,11
1955,12
1956,0
1957,8
1958,11
1959,7
1960,9
1961,7
1962,0
1963,7
1964,8
1965,0
1966,0
1967,0
1968,7
1969,0
1970,0
1971,8
1972,6
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,7
1981,0
1982,0
1983,5
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
