year,Toby (F),Toby (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000013,0.000000
1903,0.000018,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000019
1906,0.000000,0.000012
1907,0.000013,0.000013
1908,0.000023,0.000000
1909,0.000016,0.000016
1910,0.000027,0.000010
1911,0.000020,0.000011
1912,0.000014,0.000000
1913,0.000021,0.000010
1914,0.000013,0.000010
1915,0.000022,0.000015
1916,0.000024,0.000011
1917,0.000019,0.000011
1918,0.000018,0.000011
1919,0.000021,0.000014
1920,0.000016,0.000010
1921,0.000025,0.000010
1922,0.000017,0.000010
1923,0.000016,0.000012
1924,0.000025,0.000010
1925,0.000017,0.000011
1926,0.000017,0.000009
1927,0.000011,0.000014
1928,0.000018,0.000011
1929,0.000016,0.000012
1930,0.000019,0.000013
1931,0.000017,0.000014
1932,0.000017,0.000021
1933,0.000029,0.000018
1934,0.000049,0.000026
1935,0.000045,0.000027
1936,0.000073,0.000028
1937,0.000055,0.000031
1938,0.000071,0.000024
1939,0.000070,0.000033
1940,0.000064,0.000033
1941,0.000070,0.000037
1942,0.000057,0.000044
1943,0.000057,0.000041
1944,0.000044,0.000057
1945,0.000050,0.000046
1946,0.000036,0.000039
1947,0.000035,0.000041
1948,0.000034,0.000039
1949,0.000033,0.000043
1950,0.000032,0.000043
1951,0.000029,0.000039
1952,0.000028,0.000050
1953,0.000022,0.000047
1954,0.000024,0.000046
1955,0.000025,0.000047
1956,0.000026,0.000059
1957,0.000021,0.000060
1958,0.000020,0.000072
1959,0.000018,0.000071
1960,0.000020,0.000090
1961,0.000018,0.000073
1962,0.000021,0.000089
1963,0.000023,0.000098
1964,0.000016,0.000097
1965,0.000020,0.000130
1966,0.000016,0.000100
1967,0.000020,0.000127
1968,0.000016,0.000164
1969,0.000023,0.000217
1970,0.000028,0.000272
1971,0.000022,0.000301
1972,0.000031,0.000283
1973,0.000032,0.000333
1974,0.000038,0.000356
1975,0.000052,0.000394
1976,0.000038,0.000361
1977,0.000029,0.000334
1978,0.000017,0.000279
1979,0.000017,0.000200
1980,0.000015,0.000188
1981,0.000011,0.000132
1982,0.000012,0.000133
1983,0.000011,0.000111
1984,0.000015,0.000099
1985,0.000016,0.000090
1986,0.000007,0.000086
1987,0.000013,0.000082
1988,0.000012,0.000074
1989,0.000012,0.000068
1990,0.000007,0.000078
1991,0.000008,0.000066
1992,0.000010,0.000075
1993,0.000009,0.000075
1994,0.000010,0.000083
1995,0.000012,0.000086
1996,0.000010,0.000094
1997,0.000011,0.000095
1998,0.000010,0.000092
1999,0.000010,0.000090
2000,0.000014,0.000108
2001,0.000019,0.000110
2002,0.000011,0.000134
2003,0.000017,0.000153
2004,0.000017,0.000160
2005,0.000017,0.000137
2006,0.000016,0.000128
2007,0.000013,0.000115
2008,0.000013,0.000112
2009,0.000015,0.000104
2010,0.000014,0.000097
2011,0.000017,0.000080
2012,0.000027,0.000096
