year,Taffy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,6
1944,5
1945,0
1946,6
1947,12
1948,13
1949,20
1950,16
1951,24
1952,21
1953,20
1954,21
1955,37
1956,26
1957,12
1958,20
1959,27
1960,23
1961,23
1962,47
1963,34
1964,28
1965,26
1966,21
1967,21
1968,24
1969,26
1970,19
1971,24
1972,28
1973,20
1974,32
1975,28
1976,19
1977,15
1978,20
1979,10
1980,17
1981,13
1982,12
1983,10
1984,11
1985,8
1986,7
1987,0
1988,5
1989,7
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
