year,Teresita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,5
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,7
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,7
1913,0
1914,0
1915,0
1916,0
1917,7
1918,6
1919,5
1920,0
1921,10
1922,8
1923,8
1924,6
1925,12
1926,14
1927,13
1928,16
1929,25
1930,19
1931,16
1932,15
1933,22
1934,12
1935,20
1936,15
1937,15
1938,13
1939,17
1940,9
1941,17
1942,19
1943,16
1944,23
1945,15
1946,23
1947,34
1948,34
1949,33
1950,32
1951,23
1952,36
1953,54
1954,37
1955,54
1956,32
1957,35
1958,37
1959,47
1960,66
1961,52
1962,82
1963,68
1964,78
1965,67
1966,54
1967,63
1968,55
1969,65
1970,68
1971,55
1972,52
1973,32
1974,52
1975,63
1976,61
1977,50
1978,54
1979,44
1980,46
1981,36
1982,49
1983,43
1984,33
1985,37
1986,27
1987,33
1988,26
1989,41
1990,47
1991,32
1992,48
1993,39
1994,46
1995,40
1996,37
1997,36
1998,25
1999,34
2000,32
2001,33
2002,31
2003,32
2004,23
2005,39
2006,35
2007,21
2008,29
2009,26
2010,10
2011,16
2012,16
