year,Telia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,0
1958,0
1959,5
1960,8
1961,7
1962,7
1963,0
1964,0
1965,5
1966,7
1967,0
1968,10
1969,0
1970,0
1971,10
1972,0
1973,5
1974,6
1975,6
1976,13
1977,14
1978,10
1979,10
1980,15
1981,12
1982,10
1983,15
1984,34
1985,28
1986,21
1987,15
1988,7
1989,16
1990,17
1991,17
1992,15
1993,8
1994,11
1995,12
1996,11
1997,12
1998,19
1999,16
2000,21
2001,12
2002,8
2003,10
2004,12
2005,15
2006,14
2007,14
2008,18
2009,15
2010,9
2011,9
2012,9
