year,Teresia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,5
1938,0
1939,5
1940,0
1941,0
1942,0
1943,10
1944,7
1945,12
1946,13
1947,20
1948,27
1949,32
1950,26
1951,29
1952,24
1953,38
1954,47
1955,43
1956,68
1957,53
1958,62
1959,53
1960,33
1961,40
1962,56
1963,39
1964,49
1965,25
1966,37
1967,31
1968,19
1969,27
1970,26
1971,25
1972,16
1973,16
1974,10
1975,8
1976,13
1977,11
1978,5
1979,8
1980,8
1981,5
1982,0
1983,6
1984,0
1985,0
1986,5
1987,0
1988,5
1989,8
1990,0
1991,0
1992,0
1993,0
1994,7
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
