year,Thad (F),Thad (M)
1880,0.000000,0.000030
1881,0.000000,0.000047
1882,0.000000,0.000059
1883,0.000000,0.000032
1884,0.000000,0.000025
1885,0.000000,0.000042
1886,0.000000,0.000063
1887,0.000000,0.000061
1888,0.000000,0.000040
1889,0.000000,0.000028
1890,0.000000,0.000027
1891,0.000000,0.000017
1892,0.000000,0.000015
1893,0.000000,0.000037
1894,0.000000,0.000050
1895,0.000000,0.000031
1896,0.000000,0.000036
1897,0.000000,0.000023
1898,0.000000,0.000016
1899,0.000000,0.000015
1900,0.000000,0.000031
1901,0.000000,0.000020
1902,0.000000,0.000041
1903,0.000000,0.000052
1904,0.000000,0.000030
1905,0.000000,0.000033
1906,0.000000,0.000026
1907,0.000000,0.000019
1908,0.000000,0.000016
1909,0.000000,0.000029
1910,0.000000,0.000014
1911,0.000000,0.000019
1912,0.000000,0.000023
1913,0.000000,0.000026
1914,0.000000,0.000029
1915,0.000000,0.000020
1916,0.000000,0.000024
1917,0.000000,0.000017
1918,0.000000,0.000023
1919,0.000000,0.000022
1920,0.000000,0.000021
1921,0.000000,0.000025
1922,0.000000,0.000023
1923,0.000000,0.000024
1924,0.000000,0.000026
1925,0.000000,0.000020
1926,0.000000,0.000017
1927,0.000000,0.000019
1928,0.000000,0.000023
1929,0.000000,0.000025
1930,0.000000,0.000023
1931,0.000000,0.000022
1932,0.000002,0.000019
1933,0.000000,0.000024
1934,0.000000,0.000022
1935,0.000000,0.000022
1936,0.000000,0.000025
1937,0.000000,0.000026
1938,0.000000,0.000020
1939,0.000000,0.000016
1940,0.000000,0.000022
1941,0.000000,0.000023
1942,0.000000,0.000022
1943,0.000000,0.000021
1944,0.000000,0.000018
1945,0.000000,0.000019
1946,0.000000,0.000017
1947,0.000000,0.000018
1948,0.000000,0.000015
1949,0.000000,0.000015
1950,0.000000,0.000013
1951,0.000000,0.000015
1952,0.000000,0.000016
1953,0.000000,0.000016
1954,0.000000,0.000016
1955,0.000000,0.000021
1956,0.000000,0.000025
1957,0.000000,0.000023
1958,0.000000,0.000020
1959,0.000000,0.000023
1960,0.000000,0.000028
1961,0.000000,0.000027
1962,0.000000,0.000030
1963,0.000000,0.000031
1964,0.000000,0.000034
1965,0.000000,0.000038
1966,0.000000,0.000062
1967,0.000000,0.000108
1968,0.000000,0.000095
1969,0.000000,0.000093
1970,0.000000,0.000072
1971,0.000000,0.000077
1972,0.000000,0.000071
1973,0.000000,0.000067
1974,0.000000,0.000058
1975,0.000000,0.000052
1976,0.000000,0.000044
1977,0.000000,0.000043
1978,0.000000,0.000040
1979,0.000000,0.000034
1980,0.000000,0.000023
1981,0.000000,0.000026
1982,0.000000,0.000020
1983,0.000000,0.000019
1984,0.000000,0.000021
1985,0.000000,0.000017
1986,0.000000,0.000017
1987,0.000000,0.000015
1988,0.000000,0.000013
1989,0.000000,0.000012
1990,0.000000,0.000015
1991,0.000000,0.000009
1992,0.000000,0.000012
1993,0.000000,0.000011
1994,0.000000,0.000008
1995,0.000000,0.000009
1996,0.000000,0.000010
1997,0.000000,0.000010
1998,0.000000,0.000008
1999,0.000000,0.000008
2000,0.000000,0.000010
2001,0.000000,0.000009
2002,0.000000,0.000005
2003,0.000000,0.000007
2004,0.000000,0.000007
2005,0.000000,0.000008
2006,0.000000,0.000009
2007,0.000000,0.000005
2008,0.000000,0.000006
2009,0.000000,0.000006
2010,0.000000,0.000007
2011,0.000000,0.000005
2012,0.000000,0.000008
