year,Twyla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,6
1907,8
1908,7
1909,6
1910,8
1911,5
1912,14
1913,7
1914,17
1915,28
1916,33
1917,23
1918,38
1919,39
1920,42
1921,42
1922,45
1923,53
1924,54
1925,65
1926,47
1927,62
1928,50
1929,61
1930,73
1931,64
1932,60
1933,68
1934,59
1935,59
1936,66
1937,64
1938,67
1939,75
1940,57
1941,69
1942,50
1943,62
1944,64
1945,60
1946,72
1947,93
1948,73
1949,93
1950,105
1951,103
1952,116
1953,100
1954,117
1955,121
1956,147
1957,152
1958,139
1959,143
1960,168
1961,154
1962,142
1963,137
1964,194
1965,120
1966,99
1967,101
1968,105
1969,113
1970,115
1971,106
1972,92
1973,73
1974,79
1975,78
1976,89
1977,96
1978,83
1979,96
1980,71
1981,60
1982,55
1983,62
1984,65
1985,38
1986,52
1987,50
1988,40
1989,39
1990,32
1991,25
1992,32
1993,30
1994,26
1995,15
1996,27
1997,20
1998,21
1999,21
2000,24
2001,20
2002,22
2003,30
2004,26
2005,30
2006,12
2007,18
2008,17
2009,34
2010,33
2011,28
2012,24
