year,Tiare
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,5
1961,5
1962,0
1963,9
1964,0
1965,6
1966,7
1967,9
1968,9
1969,8
1970,10
1971,7
1972,14
1973,9
1974,10
1975,19
1976,15
1977,12
1978,13
1979,20
1980,14
1981,23
1982,27
1983,27
1984,23
1985,18
1986,26
1987,25
1988,24
1989,30
1990,31
1991,32
1992,60
1993,33
1994,47
1995,38
1996,36
1997,34
1998,30
1999,36
2000,25
2001,32
2002,24
2003,31
2004,34
2005,56
2006,29
2007,30
2008,20
2009,18
2010,15
2011,11
2012,19
