year,Thecla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,6
1899,6
1900,5
1901,0
1902,7
1903,0
1904,0
1905,0
1906,5
1907,5
1908,5
1909,0
1910,0
1911,11
1912,9
1913,5
1914,9
1915,10
1916,11
1917,18
1918,13
1919,10
1920,10
1921,7
1922,11
1923,6
1924,12
1925,7
1926,5
1927,0
1928,6
1929,0
1930,10
1931,5
1932,0
1933,0
1934,0
1935,5
1936,6
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,0
1957,5
1958,6
1959,7
1960,0
1961,0
1962,6
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
