year,Tangela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,9
1957,12
1958,21
1959,33
1960,44
1961,47
1962,69
1963,88
1964,100
1965,124
1966,132
1967,133
1968,130
1969,133
1970,153
1971,193
1972,180
1973,179
1974,146
1975,151
1976,116
1977,121
1978,111
1979,116
1980,107
1981,75
1982,101
1983,75
1984,98
1985,84
1986,77
1987,56
1988,58
1989,53
1990,42
1991,50
1992,45
1993,34
1994,52
1995,22
1996,32
1997,29
1998,25
1999,20
2000,13
2001,16
2002,13
2003,17
2004,12
2005,0
2006,6
2007,8
2008,8
2009,5
2010,0
2011,8
2012,0
