year,Tarah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,6
1965,0
1966,5
1967,0
1968,7
1969,14
1970,17
1971,25
1972,42
1973,32
1974,45
1975,51
1976,80
1977,145
1978,133
1979,117
1980,179
1981,212
1982,205
1983,262
1984,265
1985,267
1986,188
1987,196
1988,211
1989,197
1990,184
1991,152
1992,125
1993,126
1994,130
1995,95
1996,100
1997,108
1998,75
1999,82
2000,57
2001,58
2002,40
2003,57
2004,46
2005,44
2006,40
2007,29
2008,30
2009,29
2010,27
2011,29
2012,11
