year,Tayna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,9
1959,0
1960,11
1961,8
1962,16
1963,8
1964,22
1965,13
1966,18
1967,19
1968,23
1969,29
1970,36
1971,24
1972,39
1973,40
1974,58
1975,36
1976,34
1977,37
1978,27
1979,23
1980,33
1981,36
1982,20
1983,22
1984,18
1985,26
1986,17
1987,14
1988,7
1989,18
1990,11
1991,8
1992,6
1993,8
1994,8
1995,0
1996,10
1997,6
1998,11
1999,9
2000,6
2001,14
2002,9
2003,7
2004,8
2005,6
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
