year,Trudi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,13
1939,15
1940,23
1941,11
1942,25
1943,27
1944,51
1945,44
1946,57
1947,101
1948,60
1949,59
1950,78
1951,81
1952,75
1953,71
1954,72
1955,90
1956,84
1957,71
1958,92
1959,98
1960,107
1961,104
1962,105
1963,112
1964,109
1965,139
1966,129
1967,103
1968,104
1969,102
1970,116
1971,82
1972,81
1973,61
1974,68
1975,50
1976,38
1977,38
1978,24
1979,28
1980,28
1981,21
1982,15
1983,15
1984,10
1985,15
1986,11
1987,7
1988,10
1989,9
1990,7
1991,12
1992,5
1993,6
1994,0
1995,7
1996,7
1997,5
1998,0
1999,0
2000,9
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,7
2010,0
2011,0
2012,0
