year,Timmy (F),Timmy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000003
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000005
1930,0.000000,0.000002
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000006
1934,0.000000,0.000003
1935,0.000000,0.000006
1936,0.000000,0.000005
1937,0.000000,0.000005
1938,0.000000,0.000011
1939,0.000000,0.000011
1940,0.000000,0.000008
1941,0.000000,0.000013
1942,0.000000,0.000013
1943,0.000000,0.000019
1944,0.000000,0.000024
1945,0.000000,0.000024
1946,0.000000,0.000027
1947,0.000000,0.000026
1948,0.000000,0.000041
1949,0.000000,0.000045
1950,0.000000,0.000046
1951,0.000000,0.000051
1952,0.000000,0.000047
1953,0.000002,0.000046
1954,0.000000,0.000063
1955,0.000001,0.000070
1956,0.000000,0.000100
1957,0.000000,0.000145
1958,0.000000,0.000283
1959,0.000002,0.000379
1960,0.000003,0.000378
1961,0.000002,0.000357
1962,0.000004,0.000356
1963,0.000003,0.000348
1964,0.000002,0.000335
1965,0.000003,0.000300
1966,0.000003,0.000299
1967,0.000002,0.000285
1968,0.000003,0.000287
1969,0.000004,0.000201
1970,0.000002,0.000179
1971,0.000002,0.000180
1972,0.000003,0.000148
1973,0.000002,0.000127
1974,0.000000,0.000119
1975,0.000000,0.000102
1976,0.000002,0.000093
1977,0.000000,0.000092
1978,0.000000,0.000090
1979,0.000000,0.000082
1980,0.000000,0.000068
1981,0.000000,0.000048
1982,0.000000,0.000052
1983,0.000000,0.000046
1984,0.000000,0.000049
1985,0.000000,0.000041
1986,0.000000,0.000038
1987,0.000000,0.000038
1988,0.000000,0.000038
1989,0.000000,0.000034
1990,0.000000,0.000035
1991,0.000000,0.000039
1992,0.000000,0.000038
1993,0.000000,0.000032
1994,0.000000,0.000033
1995,0.000000,0.000030
1996,0.000000,0.000032
1997,0.000000,0.000025
1998,0.000000,0.000029
1999,0.000000,0.000025
2000,0.000000,0.000028
2001,0.000000,0.000029
2002,0.000000,0.000026
2003,0.000000,0.000017
2004,0.000000,0.000023
2005,0.000000,0.000022
2006,0.000000,0.000017
2007,0.000000,0.000020
2008,0.000000,0.000011
2009,0.000000,0.000011
2010,0.000000,0.000011
2011,0.000000,0.000010
2012,0.000000,0.000010
2013,0.000000,0.000012
