year,Twilla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,5
1916,0
1917,7
1918,8
1919,5
1920,11
1921,15
1922,13
1923,12
1924,12
1925,13
1926,16
1927,11
1928,20
1929,19
1930,8
1931,24
1932,14
1933,13
1934,22
1935,22
1936,14
1937,20
1938,14
1939,8
1940,19
1941,16
1942,22
1943,19
1944,27
1945,16
1946,20
1947,24
1948,36
1949,23
1950,14
1951,25
1952,26
1953,23
1954,21
1955,18
1956,19
1957,21
1958,29
1959,33
1960,30
1961,30
1962,37
1963,28
1964,20
1965,28
1966,18
1967,19
1968,19
1969,23
1970,16
1971,24
1972,10
1973,16
1974,10
1975,11
1976,12
1977,18
1978,16
1979,8
1980,9
1981,7
1982,8
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
