year,Tinnie
1880,0
1881,0
1882,6
1883,5
1884,9
1885,6
1886,8
1887,5
1888,14
1889,8
1890,12
1891,5
1892,11
1893,13
1894,6
1895,9
1896,13
1897,6
1898,14
1899,5
1900,13
1901,9
1902,11
1903,8
1904,8
1905,11
1906,14
1907,11
1908,6
1909,14
1910,14
1911,7
1912,19
1913,13
1914,15
1915,20
1916,24
1917,24
1918,30
1919,25
1920,17
1921,21
1922,17
1923,15
1924,20
1925,19
1926,14
1927,15
1928,23
1929,11
1930,15
1931,19
1932,10
1933,15
1934,8
1935,13
1936,11
1937,11
1938,8
1939,18
1940,12
1941,8
1942,12
1943,13
1944,8
1945,13
1946,15
1947,8
1948,6
1949,11
1950,5
1951,7
1952,10
1953,9
1954,0
1955,5
1956,0
1957,10
1958,0
1959,9
1960,6
1961,9
1962,8
1963,6
1964,0
1965,0
1966,7
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,6
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
