year,Thorin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,6
1970,0
1971,10
1972,6
1973,10
1974,7
1975,0
1976,7
1977,8
1978,7
1979,8
1980,0
1981,6
1982,8
1983,8
1984,8
1985,14
1986,0
1987,7
1988,10
1989,13
1990,11
1991,8
1992,8
1993,14
1994,8
1995,20
1996,19
1997,19
1998,17
1999,17
2000,12
2001,19
2002,19
2003,17
2004,23
2005,21
2006,21
2007,13
2008,24
2009,18
2010,11
2011,27
2012,31
