year,Trent (F),Trent (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000003
1917,0.000000,0.000000
1918,0.000000,0.000003
1919,0.000000,0.000000
1920,0.000000,0.000002
1921,0.000000,0.000003
1922,0.000000,0.000005
1923,0.000000,0.000003
1924,0.000000,0.000003
1925,0.000000,0.000004
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000006
1929,0.000000,0.000005
1930,0.000000,0.000003
1931,0.000000,0.000003
1932,0.000000,0.000004
1933,0.000000,0.000004
1934,0.000000,0.000004
1935,0.000000,0.000007
1936,0.000000,0.000005
1937,0.000000,0.000008
1938,0.000000,0.000009
1939,0.000000,0.000005
1940,0.000000,0.000009
1941,0.000000,0.000010
1942,0.000000,0.000009
1943,0.000000,0.000010
1944,0.000000,0.000010
1945,0.000000,0.000008
1946,0.000000,0.000011
1947,0.000000,0.000012
1948,0.000000,0.000011
1949,0.000000,0.000012
1950,0.000000,0.000013
1951,0.000000,0.000012
1952,0.000000,0.000016
1953,0.000000,0.000023
1954,0.000000,0.000025
1955,0.000000,0.000034
1956,0.000000,0.000032
1957,0.000000,0.000040
1958,0.000000,0.000043
1959,0.000000,0.000055
1960,0.000000,0.000063
1961,0.000000,0.000080
1962,0.000000,0.000092
1963,0.000000,0.000123
1964,0.000000,0.000140
1965,0.000002,0.000154
1966,0.000000,0.000171
1967,0.000000,0.000186
1968,0.000002,0.000195
1969,0.000003,0.000202
1970,0.000002,0.000240
1971,0.000000,0.000244
1972,0.000000,0.000226
1973,0.000002,0.000199
1974,0.000000,0.000209
1975,0.000000,0.000221
1976,0.000000,0.000188
1977,0.000002,0.000180
1978,0.000002,0.000172
1979,0.000002,0.000189
1980,0.000000,0.000168
1981,0.000001,0.000164
1982,0.000001,0.000166
1983,0.000001,0.000151
1984,0.000000,0.000171
1985,0.000003,0.000196
1986,0.000000,0.000185
1987,0.000002,0.000196
1988,0.000000,0.000251
1989,0.000001,0.000281
1990,0.000000,0.000271
1991,0.000000,0.000247
1992,0.000000,0.000286
1993,0.000001,0.000276
1994,0.000000,0.000285
1995,0.000000,0.000305
1996,0.000000,0.000322
1997,0.000000,0.000339
1998,0.000000,0.000374
1999,0.000001,0.000370
2000,0.000000,0.000389
2001,0.000000,0.000460
2002,0.000000,0.000389
2003,0.000000,0.000363
2004,0.000001,0.000335
2005,0.000000,0.000319
2006,0.000000,0.000306
2007,0.000000,0.000296
2008,0.000000,0.000273
2009,0.000000,0.000282
2010,0.000000,0.000243
2011,0.000000,0.000219
2012,0.000000,0.000217
2013,0.000000,0.000180
