year,Talmadge (F),Talmadge (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000031
1894,0.000000,0.000000
1895,0.000000,0.000031
1896,0.000000,0.000000
1897,0.000000,0.000026
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000029
1901,0.000000,0.000023
1902,0.000000,0.000028
1903,0.000000,0.000016
1904,0.000000,0.000017
1905,0.000000,0.000017
1906,0.000000,0.000035
1907,0.000000,0.000032
1908,0.000000,0.000018
1909,0.000000,0.000012
1910,0.000000,0.000019
1911,0.000000,0.000036
1912,0.000000,0.000048
1913,0.000000,0.000030
1914,0.000000,0.000039
1915,0.000000,0.000040
1916,0.000000,0.000034
1917,0.000000,0.000042
1918,0.000000,0.000047
1919,0.000002,0.000037
1920,0.000000,0.000046
1921,0.000003,0.000048
1922,0.000000,0.000051
1923,0.000002,0.000056
1924,0.000003,0.000052
1925,0.000003,0.000049
1926,0.000000,0.000054
1927,0.000002,0.000044
1928,0.000000,0.000040
1929,0.000000,0.000052
1930,0.000000,0.000047
1931,0.000000,0.000048
1932,0.000000,0.000062
1933,0.000000,0.000087
1934,0.000000,0.000053
1935,0.000000,0.000051
1936,0.000000,0.000045
1937,0.000000,0.000038
1938,0.000000,0.000041
1939,0.000000,0.000044
1940,0.000000,0.000047
1941,0.000000,0.000025
1942,0.000000,0.000029
1943,0.000000,0.000023
1944,0.000000,0.000021
1945,0.000000,0.000023
1946,0.000000,0.000020
1947,0.000000,0.000023
1948,0.000000,0.000017
1949,0.000000,0.000020
1950,0.000000,0.000015
1951,0.000000,0.000014
1952,0.000000,0.000013
1953,0.000000,0.000012
1954,0.000000,0.000014
1955,0.000000,0.000016
1956,0.000000,0.000014
1957,0.000000,0.000014
1958,0.000000,0.000013
1959,0.000000,0.000011
1960,0.000000,0.000013
1961,0.000000,0.000014
1962,0.000000,0.000013
1963,0.000000,0.000012
1964,0.000000,0.000010
1965,0.000000,0.000013
1966,0.000000,0.000009
1967,0.000000,0.000012
1968,0.000000,0.000010
1969,0.000000,0.000011
1970,0.000000,0.000013
1971,0.000000,0.000011
1972,0.000000,0.000015
1973,0.000000,0.000009
1974,0.000000,0.000009
1975,0.000000,0.000012
1976,0.000000,0.000008
1977,0.000000,0.000010
1978,0.000000,0.000009
1979,0.000000,0.000008
1980,0.000000,0.000008
1981,0.000000,0.000007
1982,0.000000,0.000008
1983,0.000000,0.000008
1984,0.000000,0.000006
1985,0.000000,0.000006
1986,0.000000,0.000006
1987,0.000000,0.000004
1988,0.000000,0.000005
1989,0.000000,0.000006
1990,0.000000,0.000006
1991,0.000000,0.000005
1992,0.000000,0.000005
1993,0.000000,0.000003
1994,0.000000,0.000004
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000006
1998,0.000000,0.000004
1999,0.000000,0.000003
2000,0.000000,0.000005
2001,0.000000,0.000003
2002,0.000000,0.000005
2003,0.000000,0.000004
2004,0.000000,0.000005
2005,0.000000,0.000005
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000002
2012,0.000000,0.000003
