year,Twila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,10
1892,0
1893,0
1894,10
1895,13
1896,13
1897,9
1898,18
1899,18
1900,16
1901,14
1902,14
1903,18
1904,17
1905,27
1906,17
1907,21
1908,22
1909,21
1910,18
1911,17
1912,44
1913,42
1914,64
1915,106
1916,89
1917,110
1918,117
1919,108
1920,135
1921,135
1922,149
1923,164
1924,160
1925,142
1926,184
1927,187
1928,181
1929,147
1930,166
1931,184
1932,165
1933,189
1934,194
1935,164
1936,170
1937,149
1938,173
1939,143
1940,146
1941,143
1942,144
1943,122
1944,125
1945,130
1946,159
1947,160
1948,170
1949,168
1950,148
1951,177
1952,173
1953,196
1954,177
1955,206
1956,210
1957,212
1958,283
1959,241
1960,304
1961,252
1962,226
1963,229
1964,210
1965,163
1966,157
1967,137
1968,139
1969,132
1970,147
1971,124
1972,108
1973,95
1974,100
1975,108
1976,78
1977,81
1978,67
1979,74
1980,71
1981,53
1982,47
1983,60
1984,40
1985,43
1986,25
1987,27
1988,25
1989,26
1990,29
1991,17
1992,32
1993,18
1994,14
1995,16
1996,12
1997,29
1998,21
1999,20
2000,19
2001,16
2002,15
2003,21
2004,20
2005,23
2006,12
2007,24
2008,11
2009,19
2010,16
2011,28
2012,7
