year,Tani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,6
1945,5
1946,12
1947,0
1948,12
1949,7
1950,0
1951,9
1952,7
1953,11
1954,14
1955,17
1956,17
1957,18
1958,17
1959,20
1960,30
1961,35
1962,42
1963,62
1964,38
1965,39
1966,27
1967,31
1968,29
1969,17
1970,21
1971,23
1972,14
1973,7
1974,11
1975,14
1976,12
1977,14
1978,11
1979,19
1980,7
1981,14
1982,10
1983,11
1984,9
1985,17
1986,11
1987,12
1988,20
1989,17
1990,17
1991,18
1992,12
1993,6
1994,9
1995,14
1996,12
1997,7
1998,5
1999,7
2000,10
2001,7
2002,11
2003,0
2004,7
2005,7
2006,7
2007,0
2008,0
2009,5
2010,5
2011,9
2012,0
