year,Tennie
1880,26
1881,25
1882,33
1883,32
1884,44
1885,27
1886,38
1887,28
1888,29
1889,25
1890,35
1891,43
1892,45
1893,32
1894,28
1895,45
1896,38
1897,46
1898,46
1899,25
1900,51
1901,38
1902,38
1903,32
1904,43
1905,41
1906,29
1907,31
1908,39
1909,32
1910,46
1911,33
1912,34
1913,46
1914,57
1915,53
1916,55
1917,70
1918,79
1919,46
1920,47
1921,56
1922,58
1923,49
1924,57
1925,35
1926,49
1927,42
1928,37
1929,40
1930,27
1931,22
1932,20
1933,39
1934,28
1935,28
1936,17
1937,27
1938,24
1939,25
1940,25
1941,22
1942,18
1943,11
1944,19
1945,19
1946,12
1947,13
1948,21
1949,15
1950,11
1951,14
1952,13
1953,11
1954,11
1955,15
1956,14
1957,11
1958,13
1959,14
1960,17
1961,12
1962,10
1963,11
1964,13
1965,10
1966,10
1967,5
1968,7
1969,9
1970,7
1971,0
1972,8
1973,8
1974,6
1975,0
1976,8
1977,0
1978,5
1979,6
1980,6
1981,7
1982,6
1983,0
1984,7
1985,0
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
