year,Trudie
1880,0
1881,0
1882,8
1883,0
1884,0
1885,7
1886,6
1887,9
1888,7
1889,7
1890,9
1891,13
1892,9
1893,14
1894,14
1895,11
1896,12
1897,16
1898,21
1899,13
1900,23
1901,12
1902,20
1903,22
1904,23
1905,22
1906,24
1907,15
1908,21
1909,29
1910,30
1911,36
1912,35
1913,26
1914,36
1915,46
1916,35
1917,47
1918,58
1919,52
1920,50
1921,43
1922,40
1923,40
1924,38
1925,44
1926,33
1927,32
1928,27
1929,28
1930,32
1931,18
1932,27
1933,18
1934,24
1935,22
1936,17
1937,21
1938,27
1939,33
1940,39
1941,36
1942,38
1943,51
1944,63
1945,56
1946,64
1947,58
1948,56
1949,57
1950,69
1951,69
1952,53
1953,44
1954,42
1955,50
1956,54
1957,55
1958,65
1959,34
1960,54
1961,47
1962,42
1963,46
1964,36
1965,35
1966,32
1967,27
1968,23
1969,29
1970,37
1971,19
1972,19
1973,22
1974,19
1975,19
1976,19
1977,15
1978,7
1979,18
1980,11
1981,11
1982,8
1983,7
1984,7
1985,6
1986,8
1987,8
1988,7
1989,7
1990,8
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,6
2002,5
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
