year,Taron
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,6
1965,7
1966,6
1967,0
1968,9
1969,6
1970,13
1971,15
1972,12
1973,21
1974,27
1975,23
1976,24
1977,30
1978,33
1979,43
1980,48
1981,40
1982,75
1983,35
1984,64
1985,61
1986,50
1987,60
1988,54
1989,58
1990,53
1991,69
1992,60
1993,72
1994,61
1995,71
1996,78
1997,71
1998,63
1999,65
2000,73
2001,71
2002,67
2003,74
2004,78
2005,67
2006,74
2007,64
2008,70
2009,47
2010,47
2011,33
2012,43
