year,Thompson
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,8
1888,0
1889,0
1890,0
1891,8
1892,0
1893,0
1894,5
1895,8
1896,7
1897,0
1898,5
1899,6
1900,0
1901,0
1902,6
1903,0
1904,0
1905,5
1906,0
1907,8
1908,0
1909,5
1910,10
1911,6
1912,13
1913,8
1914,14
1915,26
1916,26
1917,17
1918,32
1919,16
1920,29
1921,19
1922,19
1923,18
1924,28
1925,19
1926,22
1927,15
1928,17
1929,21
1930,24
1931,10
1932,13
1933,18
1934,17
1935,9
1936,14
1937,17
1938,16
1939,19
1940,19
1941,22
1942,23
1943,16
1944,22
1945,18
1946,18
1947,16
1948,28
1949,23
1950,21
1951,31
1952,22
1953,14
1954,16
1955,17
1956,20
1957,19
1958,21
1959,16
1960,14
1961,18
1962,12
1963,12
1964,19
1965,16
1966,8
1967,13
1968,12
1969,12
1970,12
1971,7
1972,10
1973,15
1974,7
1975,13
1976,15
1977,11
1978,10
1979,19
1980,16
1981,5
1982,18
1983,12
1984,13
1985,6
1986,21
1987,15
1988,22
1989,33
1990,26
1991,21
1992,15
1993,32
1994,25
1995,19
1996,19
1997,26
1998,24
1999,33
2000,29
2001,23
2002,13
2003,31
2004,38
2005,29
2006,27
2007,37
2008,31
2009,32
2010,38
2011,26
2012,36
