year,Thedore
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,10
1904,0
1905,11
1906,9
1907,12
1908,8
1909,7
1910,6
1911,8
1912,8
1913,11
1914,14
1915,17
1916,17
1917,20
1918,19
1919,31
1920,25
1921,16
1922,18
1923,32
1924,25
1925,26
1926,26
1927,12
1928,28
1929,34
1930,22
1931,22
1932,28
1933,19
1934,23
1935,22
1936,28
1937,14
1938,22
1939,15
1940,18
1941,14
1942,25
1943,11
1944,21
1945,21
1946,17
1947,13
1948,15
1949,21
1950,15
1951,16
1952,12
1953,17
1954,18
1955,17
1956,22
1957,13
1958,14
1959,10
1960,8
1961,15
1962,7
1963,9
1964,10
1965,10
1966,9
1967,6
1968,0
1969,6
1970,6
1971,9
1972,6
1973,7
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,5
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
