year,Trula
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,9
1896,5
1897,6
1898,5
1899,9
1900,6
1901,13
1902,14
1903,11
1904,15
1905,9
1906,12
1907,18
1908,17
1909,15
1910,20
1911,13
1912,33
1913,24
1914,29
1915,37
1916,50
1917,44
1918,48
1919,55
1920,53
1921,48
1922,46
1923,63
1924,53
1925,58
1926,49
1927,45
1928,52
1929,47
1930,29
1931,36
1932,53
1933,39
1934,36
1935,33
1936,27
1937,29
1938,37
1939,29
1940,34
1941,32
1942,36
1943,35
1944,29
1945,39
1946,36
1947,36
1948,32
1949,27
1950,25
1951,23
1952,19
1953,29
1954,10
1955,24
1956,13
1957,14
1958,16
1959,23
1960,11
1961,13
1962,11
1963,5
1964,10
1965,7
1966,0
1967,9
1968,8
1969,0
1970,10
1971,7
1972,6
1973,0
1974,0
1975,8
1976,0
1977,5
1978,6
1979,7
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
