year,Thressa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,6
1891,0
1892,6
1893,0
1894,0
1895,0
1896,7
1897,6
1898,0
1899,0
1900,7
1901,7
1902,5
1903,0
1904,6
1905,0
1906,5
1907,0
1908,7
1909,12
1910,0
1911,7
1912,7
1913,16
1914,11
1915,17
1916,27
1917,21
1918,23
1919,17
1920,26
1921,22
1922,13
1923,19
1924,14
1925,16
1926,20
1927,21
1928,13
1929,10
1930,19
1931,13
1932,10
1933,12
1934,8
1935,6
1936,8
1937,12
1938,12
1939,9
1940,8
1941,0
1942,10
1943,12
1944,0
1945,11
1946,14
1947,14
1948,14
1949,10
1950,17
1951,11
1952,8
1953,18
1954,16
1955,15
1956,18
1957,20
1958,18
1959,18
1960,19
1961,19
1962,19
1963,7
1964,26
1965,13
1966,18
1967,15
1968,13
1969,7
1970,7
1971,12
1972,11
1973,7
1974,10
1975,7
1976,0
1977,0
1978,5
1979,8
1980,5
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
