year,Terrilyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,6
1948,10
1949,0
1950,5
1951,12
1952,18
1953,12
1954,21
1955,22
1956,21
1957,22
1958,60
1959,39
1960,31
1961,34
1962,23
1963,33
1964,36
1965,26
1966,25
1967,26
1968,27
1969,25
1970,26
1971,24
1972,17
1973,20
1974,15
1975,16
1976,9
1977,21
1978,7
1979,18
1980,16
1981,8
1982,15
1983,12
1984,20
1985,9
1986,12
1987,13
1988,5
1989,8
1990,11
1991,5
1992,0
1993,7
1994,0
1995,6
1996,6
1997,11
1998,10
1999,5
2000,5
2001,0
2002,8
2003,6
2004,7
2005,7
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
