year,Trilby
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,12
1896,6
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,5
1915,7
1916,10
1917,8
1918,7
1919,12
1920,14
1921,11
1922,13
1923,11
1924,10
1925,22
1926,11
1927,8
1928,9
1929,7
1930,7
1931,19
1932,11
1933,12
1934,0
1935,10
1936,9
1937,9
1938,12
1939,10
1940,11
1941,8
1942,5
1943,8
1944,0
1945,0
1946,10
1947,8
1948,0
1949,6
1950,7
1951,7
1952,9
1953,7
1954,10
1955,13
1956,9
1957,0
1958,16
1959,11
1960,10
1961,0
1962,6
1963,5
1964,0
1965,9
1966,0
1967,0
1968,5
1969,7
1970,6
1971,8
1972,7
1973,8
1974,0
1975,10
1976,0
1977,0
1978,0
1979,0
1980,10
1981,0
1982,0
1983,0
1984,0
1985,0
1986,7
1987,5
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,7
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,7
2009,0
2010,6
2011,0
2012,0
