year,Tashia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,12
1963,0
1964,5
1965,9
1966,30
1967,30
1968,21
1969,50
1970,56
1971,67
1972,67
1973,72
1974,72
1975,95
1976,77
1977,92
1978,94
1979,71
1980,109
1981,83
1982,61
1983,80
1984,103
1985,111
1986,92
1987,70
1988,74
1989,95
1990,69
1991,67
1992,64
1993,46
1994,27
1995,35
1996,30
1997,23
1998,29
1999,19
2000,20
2001,15
2002,16
2003,16
2004,14
2005,11
2006,13
2007,12
2008,7
2009,9
2010,10
2011,0
2012,0
