year,Trish
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,13
1947,12
1948,7
1949,0
1950,6
1951,13
1952,24
1953,17
1954,26
1955,28
1956,27
1957,33
1958,40
1959,44
1960,56
1961,56
1962,54
1963,87
1964,109
1965,59
1966,65
1967,40
1968,43
1969,67
1970,41
1971,41
1972,37
1973,24
1974,47
1975,108
1976,146
1977,229
1978,158
1979,154
1980,124
1981,108
1982,124
1983,54
1984,49
1985,52
1986,31
1987,34
1988,27
1989,23
1990,22
1991,13
1992,9
1993,20
1994,12
1995,9
1996,6
1997,0
1998,6
1999,7
2000,17
2001,28
2002,31
2003,47
2004,38
2005,33
2006,40
2007,40
2008,28
2009,26
2010,23
2011,16
2012,15
