year,Tawnee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,7
1961,13
1962,12
1963,6
1964,9
1965,5
1966,0
1967,5
1968,0
1969,9
1970,19
1971,18
1972,8
1973,10
1974,10
1975,7
1976,13
1977,6
1978,13
1979,7
1980,19
1981,13
1982,15
1983,16
1984,16
1985,29
1986,24
1987,38
1988,46
1989,49
1990,51
1991,32
1992,27
1993,30
1994,30
1995,26
1996,25
1997,17
1998,17
1999,14
2000,8
2001,11
2002,0
2003,11
2004,8
2005,5
2006,5
2007,5
2008,5
2009,0
2010,0
2011,0
2012,0
