year,Truman (F),Truman (M)
1880,0.000000,0.000060
1881,0.000000,0.000104
1882,0.000000,0.000077
1883,0.000000,0.000097
1884,0.000000,0.000062
1885,0.000000,0.000071
1886,0.000000,0.000055
1887,0.000000,0.000032
1888,0.000000,0.000060
1889,0.000000,0.000045
1890,0.000000,0.000060
1891,0.000000,0.000077
1892,0.000000,0.000048
1893,0.000000,0.000055
1894,0.000000,0.000056
1895,0.000000,0.000043
1896,0.000000,0.000056
1897,0.000000,0.000040
1898,0.000000,0.000042
1899,0.000000,0.000027
1900,0.000000,0.000056
1901,0.000000,0.000043
1902,0.000000,0.000052
1903,0.000000,0.000050
1904,0.000012,0.000084
1905,0.000000,0.000071
1906,0.000000,0.000072
1907,0.000000,0.000064
1908,0.000000,0.000078
1909,0.000000,0.000067
1910,0.000000,0.000066
1911,0.000000,0.000078
1912,0.000000,0.000083
1913,0.000000,0.000128
1914,0.000000,0.000114
1915,0.000000,0.000110
1916,0.000000,0.000113
1917,0.000000,0.000112
1918,0.000002,0.000111
1919,0.000000,0.000107
1920,0.000000,0.000116
1921,0.000003,0.000102
1922,0.000000,0.000107
1923,0.000002,0.000092
1924,0.000000,0.000101
1925,0.000002,0.000112
1926,0.000000,0.000096
1927,0.000000,0.000104
1928,0.000000,0.000088
1929,0.000000,0.000099
1930,0.000000,0.000090
1931,0.000000,0.000094
1932,0.000000,0.000087
1933,0.000000,0.000098
1934,0.000000,0.000098
1935,0.000000,0.000095
1936,0.000000,0.000085
1937,0.000000,0.000091
1938,0.000000,0.000076
1939,0.000000,0.000079
1940,0.000000,0.000091
1941,0.000000,0.000067
1942,0.000000,0.000062
1943,0.000000,0.000075
1944,0.000000,0.000073
1945,0.000000,0.000203
1946,0.000000,0.000090
1947,0.000000,0.000057
1948,0.000000,0.000046
1949,0.000000,0.000045
1950,0.000000,0.000034
1951,0.000000,0.000021
1952,0.000000,0.000019
1953,0.000000,0.000018
1954,0.000000,0.000019
1955,0.000000,0.000016
1956,0.000000,0.000012
1957,0.000000,0.000014
1958,0.000000,0.000012
1959,0.000000,0.000009
1960,0.000000,0.000017
1961,0.000000,0.000013
1962,0.000000,0.000013
1963,0.000000,0.000014
1964,0.000000,0.000013
1965,0.000000,0.000018
1966,0.000000,0.000013
1967,0.000000,0.000017
1968,0.000000,0.000017
1969,0.000000,0.000018
1970,0.000000,0.000016
1971,0.000000,0.000022
1972,0.000000,0.000016
1973,0.000000,0.000014
1974,0.000000,0.000015
1975,0.000000,0.000013
1976,0.000000,0.000016
1977,0.000000,0.000017
1978,0.000000,0.000012
1979,0.000000,0.000011
1980,0.000000,0.000011
1981,0.000000,0.000010
1982,0.000000,0.000008
1983,0.000000,0.000011
1984,0.000000,0.000012
1985,0.000000,0.000015
1986,0.000000,0.000012
1987,0.000000,0.000013
1988,0.000000,0.000006
1989,0.000000,0.000012
1990,0.000000,0.000013
1991,0.000000,0.000013
1992,0.000000,0.000011
1993,0.000000,0.000019
1994,0.000000,0.000021
1995,0.000000,0.000021
1996,0.000000,0.000029
1997,0.000000,0.000026
1998,0.000000,0.000031
1999,0.000000,0.000032
2000,0.000000,0.000038
2001,0.000000,0.000035
2002,0.000000,0.000037
2003,0.000000,0.000042
2004,0.000000,0.000046
2005,0.000000,0.000043
2006,0.000000,0.000049
2007,0.000000,0.000051
2008,0.000000,0.000045
2009,0.000000,0.000045
2010,0.000000,0.000053
2011,0.000000,0.000050
2012,0.000000,0.000060
