year,Theora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,6
1900,0
1901,10
1902,5
1903,0
1904,0
1905,9
1906,8
1907,11
1908,11
1909,9
1910,10
1911,13
1912,13
1913,18
1914,25
1915,28
1916,25
1917,30
1918,33
1919,36
1920,23
1921,16
1922,21
1923,23
1924,20
1925,25
1926,27
1927,16
1928,18
1929,37
1930,29
1931,18
1932,16
1933,18
1934,12
1935,5
1936,13
1937,13
1938,10
1939,8
1940,14
1941,13
1942,11
1943,14
1944,6
1945,6
1946,8
1947,8
1948,6
1949,8
1950,10
1951,6
1952,0
1953,5
1954,6
1955,5
1956,0
1957,7
1958,7
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,7
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
