year,Tim (F),Tim (M)
1880,0.000000,0.000060
1881,0.000000,0.000062
1882,0.000000,0.000050
1883,0.000000,0.000074
1884,0.000000,0.000066
1885,0.000000,0.000066
1886,0.000000,0.000055
1887,0.000000,0.000073
1888,0.000000,0.000033
1889,0.000000,0.000048
1890,0.000000,0.000056
1891,0.000000,0.000052
1892,0.000000,0.000036
1893,0.000000,0.000058
1894,0.000000,0.000024
1895,0.000000,0.000043
1896,0.000000,0.000039
1897,0.000000,0.000020
1898,0.000000,0.000031
1899,0.000000,0.000038
1900,0.000000,0.000049
1901,0.000000,0.000023
1902,0.000000,0.000047
1903,0.000000,0.000066
1904,0.000000,0.000035
1905,0.000000,0.000045
1906,0.000000,0.000035
1907,0.000000,0.000041
1908,0.000000,0.000043
1909,0.000000,0.000059
1910,0.000000,0.000058
1911,0.000000,0.000036
1912,0.000000,0.000036
1913,0.000000,0.000033
1914,0.000000,0.000039
1915,0.000000,0.000022
1916,0.000000,0.000029
1917,0.000000,0.000024
1918,0.000000,0.000031
1919,0.000000,0.000027
1920,0.000000,0.000028
1921,0.000000,0.000023
1922,0.000000,0.000021
1923,0.000000,0.000028
1924,0.000000,0.000026
1925,0.000000,0.000026
1926,0.000000,0.000028
1927,0.000000,0.000028
1928,0.000000,0.000022
1929,0.000000,0.000034
1930,0.000000,0.000027
1931,0.000000,0.000034
1932,0.000000,0.000042
1933,0.000000,0.000051
1934,0.000000,0.000055
1935,0.000000,0.000063
1936,0.000000,0.000064
1937,0.000000,0.000077
1938,0.000000,0.000122
1939,0.000000,0.000111
1940,0.000000,0.000145
1941,0.000000,0.000159
1942,0.000000,0.000187
1943,0.000000,0.000219
1944,0.000000,0.000225
1945,0.000000,0.000293
1946,0.000000,0.000355
1947,0.000000,0.000369
1948,0.000000,0.000375
1949,0.000002,0.000289
1950,0.000001,0.000215
1951,0.000000,0.000194
1952,0.000000,0.000184
1953,0.000000,0.000193
1954,0.000001,0.000204
1955,0.000000,0.000285
1956,0.000000,0.000415
1957,0.000003,0.000775
1958,0.000002,0.001344
1959,0.000003,0.001642
1960,0.000003,0.001669
1961,0.000003,0.001508
1962,0.000002,0.001386
1963,0.000001,0.001267
1964,0.000003,0.001208
1965,0.000004,0.001026
1966,0.000002,0.000903
1967,0.000002,0.000773
1968,0.000002,0.000614
1969,0.000003,0.000445
1970,0.000004,0.000368
1971,0.000003,0.000306
1972,0.000002,0.000233
1973,0.000000,0.000174
1974,0.000000,0.000135
1975,0.000002,0.000108
1976,0.000002,0.000096
1977,0.000000,0.000080
1978,0.000000,0.000077
1979,0.000000,0.000044
1980,0.000000,0.000048
1981,0.000000,0.000047
1982,0.000000,0.000040
1983,0.000000,0.000028
1984,0.000000,0.000035
1985,0.000000,0.000028
1986,0.000000,0.000021
1987,0.000000,0.000023
1988,0.000000,0.000025
1989,0.000000,0.000025
1990,0.000000,0.000019
1991,0.000000,0.000017
1992,0.000000,0.000020
1993,0.000000,0.000017
1994,0.000000,0.000019
1995,0.000000,0.000014
1996,0.000000,0.000017
1997,0.000000,0.000016
1998,0.000000,0.000016
1999,0.000000,0.000020
2000,0.000000,0.000024
2001,0.000000,0.000021
2002,0.000000,0.000021
2003,0.000000,0.000023
2004,0.000000,0.000016
2005,0.000000,0.000022
2006,0.000000,0.000020
2007,0.000000,0.000019
2008,0.000000,0.000018
2009,0.000000,0.000018
2010,0.000000,0.000018
2011,0.000000,0.000013
2012,0.000000,0.000011
