year,Tedd
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,7
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,8
1932,0
1933,0
1934,11
1935,0
1936,5
1937,9
1938,5
1939,8
1940,7
1941,12
1942,11
1943,12
1944,18
1945,9
1946,20
1947,24
1948,26
1949,14
1950,20
1951,27
1952,28
1953,22
1954,38
1955,20
1956,38
1957,29
1958,34
1959,32
1960,38
1961,50
1962,42
1963,53
1964,43
1965,37
1966,28
1967,32
1968,41
1969,30
1970,30
1971,32
1972,23
1973,16
1974,17
1975,27
1976,18
1977,12
1978,10
1979,11
1980,16
1981,8
1982,10
1983,6
1984,17
1985,12
1986,8
1987,13
1988,15
1989,14
1990,10
1991,6
1992,9
1993,5
1994,6
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,0
2003,7
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
