year,Tiney
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,5
1890,6
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,5
1898,0
1899,5
1900,6
1901,6
1902,0
1903,5
1904,0
1905,0
1906,5
1907,5
1908,6
1909,9
1910,0
1911,6
1912,5
1913,6
1914,5
1915,6
1916,9
1917,13
1918,12
1919,11
1920,14
1921,10
1922,9
1923,7
1924,6
1925,9
1926,15
1927,10
1928,6
1929,0
1930,10
1931,9
1932,7
1933,7
1934,8
1935,0
1936,8
1937,5
1938,7
1939,0
1940,5
1941,7
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,5
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
