year,Tyronda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,6
1968,0
1969,10
1970,0
1971,11
1972,8
1973,11
1974,5
1975,16
1976,10
1977,6
1978,73
1979,81
1980,40
1981,23
1982,21
1983,18
1984,15
1985,18
1986,20
1987,16
1988,16
1989,11
1990,16
1991,18
1992,15
1993,8
1994,10
1995,13
1996,7
1997,0
1998,6
1999,0
2000,0
2001,7
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
