year,Tarra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,8
1957,0
1958,12
1959,8
1960,7
1961,12
1962,16
1963,16
1964,13
1965,14
1966,13
1967,11
1968,33
1969,51
1970,77
1971,85
1972,117
1973,97
1974,69
1975,81
1976,77
1977,79
1978,80
1979,90
1980,74
1981,72
1982,66
1983,70
1984,79
1985,79
1986,77
1987,56
1988,74
1989,76
1990,61
1991,59
1992,45
1993,45
1994,42
1995,22
1996,25
1997,18
1998,20
1999,21
2000,16
2001,21
2002,19
2003,11
2004,6
2005,11
2006,10
2007,0
2008,6
2009,6
2010,5
2011,7
2012,11
