year,Thomasine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,5
1911,0
1912,0
1913,8
1914,21
1915,7
1916,12
1917,12
1918,14
1919,10
1920,25
1921,19
1922,23
1923,23
1924,29
1925,25
1926,28
1927,34
1928,31
1929,27
1930,32
1931,30
1932,38
1933,34
1934,32
1935,34
1936,30
1937,29
1938,34
1939,36
1940,37
1941,54
1942,51
1943,53
1944,56
1945,50
1946,51
1947,45
1948,55
1949,53
1950,67
1951,50
1952,56
1953,56
1954,46
1955,45
1956,60
1957,40
1958,41
1959,39
1960,38
1961,32
1962,31
1963,39
1964,38
1965,36
1966,19
1967,23
1968,16
1969,24
1970,31
1971,25
1972,15
1973,16
1974,20
1975,20
1976,19
1977,10
1978,18
1979,6
1980,7
1981,9
1982,8
1983,7
1984,6
1985,5
1986,6
1987,7
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
